QRcao|QRcao brings the next generation of business cards. QRcao is a service allowing you to share your various contact details with anyone you meet, in a very easy and painless way.  QRcao is your personal digital business card, that is capable of holding way more info than itâ€™s paper predecessor. All you have to do is get a QRcao app on your...
QURIUM Solutions|QURIUM Solutions, Inc. develops mobile application for data model visualization of sales force data under the name CloudERD. The company was incorporated in 2011 and is based in Chicago, Illinois.
Qbox.io|Qbox provides Elasticsearch as a service for data exploration and analytics use cases.  Running data infrastructure at scale is hard. We provide the dev-ops, the deployment, scaling, monitoring, patching, and support so you can focus on extracting your insights.  All new users can get a voucher toward free compute hours at signup.  This can be...
Qitio|Qitio produces wireless alarm systems which can be installed by everybody. Major feature is that the central of the each alarm system runs on a server operated by Qitio. The connection between the user's alarm system and the server is made via GPRS. Each alarm system can run up to 56 external device which communicate to the main device via 433...
Qstream|Qstream is a microlearning platform that makes people better at what they do. Developed at Harvard, Qstream is the only scientifically proven platform to increase knowledge retention up to 170% and job proficiency gains up to 35%.Bite-sized, scenario-based challenges improve job skills in just minutes-a-day, and identify micro-coaching...
QuadROI|QuadROI provides business intelligence for utility sector investments in clean energy including ratepayer-funded energy efficiency programs.The company aggregates public data and documentation that is difficult to access and poorly structured, creating a single repository with a user-friendly interface for paying subscribers to visualize,...
Quandora|Quandora helps companies foster a community of continuous learning and employee engagement through the simple act of asking questions.Every workplace has unspoken rules, internal processes, general modes of operating, and technological know-how that is hard to find and track. This proprietary knowledge is difficult to capture, document, and...
Quantagen Biotech|Quantagen Biotech Inc. operates in the healthcare sector. The company was incorporated in 2010 and is based in Boca Raton, Florida.
Qudini|Qudini is a A software tool for service businesses with physical venues to seamlessly manage their resources, customers and operations, all within a single platform. Qudini’s technology allows businesses to use a selection of features to transform their service, events & customer experience offerings in storesManage walk-in and queuing...
Quest app|"Quest let people answer your question. Ask a question from any mobile phone via text message, iPhone and Android apps. Within minutes, someone nearby will answer your question.
 Checkout - www.questapp.co Quest is a people powered answering app where the Human Mind will be the Algorithm behind our answers. We strongly believe Quest is more in..."
Quickcue|Quickcue helps empower restaurants to deliver exceptional hospitality to every guest, every visit, and every time, through a powerful iPad-based platform that goes far beyond the operational benefits of managing a waitlist, reservation book, table assignment and guest notifications. Quickcue untethers guests from the lobby; captures specific...
Quividi|Quividi is the leading provider of attention analytics solution for the Digital Out of Home (DOOH) industry, with 500+ customers across 50 countries.
Quixby|Quixby personalizes e-commerce solutions with cool software for online technology retailers. Compatibility between people and the things they want to buy; simple, easy, and fast solutions for difficult problems.
Quixey|Quixey, a mobile technology company, provides better access and engagement with apps. Quixey provides the world’s leading mobile brands with Deep View Cards - a new way to deliver relevant app content and functionalities via ads, search, and social and messaging platforms.
Quizrr|Quizrr LLC provides software as a service platform for small to medium sized companies for technology and marketing tools. The company also offers marketing platform for companies to create and distribute interactive content, via quizzes, polls, surveys, and tests. Quizrr LLC was incorporated in 2011 and is based in St. Louis, Missouri.
Quolaw|Quolaw is an intuitive, easy-to-use, web-based software as a service that offer a law practice management software tool to help lawyers efficiently manage their legal practice anywhere, anytime.
Quosis|As of March 18, 2008, Quosis Oy was acquired by Proactum Oy. Quosis Oy operates as an open source software service company. It offers open-source based solutions and services, including portal solution for managing organizationâ€™s information and services; content management for gathering, sharing, saving, and producing information; business...
Quotefish|Quotefish connects local businesses with qualified leads.For the consumer, its as simple as posting their service requirement via a short online form, choosing their category, budget and location. It's fast, free and incredibly easy.For businesses, it's just a matter of signing up and selecting their categories and location. Then in...
Qwalytics|Qwalytics is a fast, simple and easy to use self-service analytics tool that takes care of your reporting needs by allowing you to query your data using plain English.Not only Qwalytics is a powerful data access tool with almost no learning curve, it is a great substitute to a number of Excel functionalities and a time-saving addition to...
Qymatix Solutions GmbH|Qymatix helps B2B companies transform data into actionable insights that support profitable growth. The AI-based Qymatix Predictive Sales Analytics software and CRM provide real-time, actionable information on cross-selling, churn risk and price analytics for traditional and digital channels. Qymatix Solutions GmbH has developed a unique cloud...
RAUR|RAUR is a web-based social publishing platform for podcasts. It is built to simplify discovery, listening, and the creation of content.The platform enables its users to share listening experiences with comedians, singers, writers, poets, performers, politicians, DJs, and many others.RAUR was launched in October 2012 and is based in Toronto,...
RED INNOVA|Red Innova is the leading conference on Innovation, Technology & Entrepreneurship, where Latin America meets the world. Media leaders, entrepreneurs, executives, investors, academia, developers and bloggers gather two days to share experiences, ideas and projects.
REEL Qualified|REEL Qualified, Inc. is a unique, robust video-powered platform that allows marketing executives to leverage existing video assets and marketing campaigns to consistently generate better qualified leads and sync those real time into their CRM and / or marketing automation systems. It also provides these sophisticated marketing executives with...
REGiMMUNE Corporation|REGiMMUNE Corporation is a private biopharmaceutical company developing innovative solutions for treating immune disorders caused by nonspecific and/or excessive immune reactions. REGiMMUNE uses its proprietary technology platform, reVax (reverse vaccination), to target immune tolerance against specific disease-causing antigens through...
Rebound Technologies|Rebound Technology is rethinking refrigeration through tailored, thermally-driven heat pump architectures that provide efficient, practical and cost-effective global solutions. Rebound’s tailored development approach enables dramatic improvement over the one-size-fits-all, state-of-the-art by utilizing renewable resources, waste heat capture,...
RIWI Corp.|RIWI is a global survey technology, global messaging, and global predictive analytics firm. We help customers who need adaptive insights and large sets of privacy-compliant opinion data, behavioral data, and population trends data. We offer predictive and applied analytics, message testing, and risk monitoring anywhere around the world through...
ROI²|ROI² Provides . . .A suite of programs generating in-depth intelligence and analytics with interactive access available to product branding, marketing, field & sales personnel, and the agencies with which they collaborate. The breadth of intelligence tools provided by ROI² focuses on the measurements of trusted networks within integrated...
ROSTR|Two rapidly growing markets are high school athletics and mobile technology; yet there's not a product that fuses both. Until now.Rostr provides high school athletes with a rich mobile experience where they can directly market themselves to collegiate scouts, as well as monitor their athletic development and well being.Rostr addresses...
RSI (Reel Solar Inc)|RSI provides technology, tools, materials and know-how to the leaders in photovoltaic manufacturing. The company has developed a proprietary process for Rapid Efficient Electroplating on Large-areas (REEL). RSI works with regional manufacturing partners to deliver the lowest cost locally manufactured photovoltaic modules. The company was founded in...
RTF Logic|We created FormDs to give you insight into startups and growing companies of all kinds - stealth mode tech startups... even hedge funds startups.
RVE.SOL - Solucoes de Energia Rural|Rural populations forced reliance on biomass and kerosene for their energy needs is causing over 1.6M# deaths per annum. Their lack of access to clean water causes over 5M people to die; 2M of them are children under the age of 5.RVE.SOL's _Changing Rural Life Forever_ initiative is creating alternative, renewable energy choices for the...
Rabbit|Rabbit is the way to watch anything online with anyone. Discover, share and watch content anywhere with your friends. React and respond in-the-moment or when you have time. Even if you're in a different city, another country, or on the other side of the world, Rabbit allows you to keep in touch while watching your favorite shows together....
Rachio|Rachio is a technology company out of Denver, Colorado that makes it easy and affordable for homeowners to have beautiful, sustainable landscapes.  Iro, Rachio’s first product, is a smart irrigation controller that is powered by Rachio’s intelligent cloud-based software and is controlled through a web-based dashboard and an intuitive Android or...
Radiator Labs, Inc|Radiator Labs, winner of the 2012 MIT Clean energy prize, the 2014 Popular Science Innovation Award, and the 2014 Verizon Powerful Answers award, has developed a product that eliminates the waste implicit in steam heated buildings. The system, called the Cozy, is a wireless, low-cost, and easily installed retrofit that drops on top of radiators to...
Radio Runt Inc.|Radio Runt, Inc. (dba Rallee) is a privately-held, venture backed company that is launching a premier group centric audio communication application for social and interest networks on Android and Apple iOS, which allows users to create and communicate in groups. Radio Runt, Inc. has headquarters in Seattle, WA.Just in the first three months of...
Rainbird Technologies|Rainbird is a reasoning engine that sits at the heart of enterprise automation and can transform complex decision-making for larger enterprises, enabling tasks to be performed at scale and to a superior standard. Although Rainbird can automate judgements in any sector, interest is highest in financial services, banking, insurance and law where...
Rainforest QA|Rainforest QA offers modern testing for web and mobile apps. The Rainforest platform delivers all the resources needed to do fast, efficient QA.Rainforest combines a massive crowd of human testers with algorithmic management and VMs to execute web and mobile regression testing for continuous deployment. The best dev teams from companies like...
RapidEngines|Next Generation analytics for Logs. Don’t just search your log data. Let us show you how to gain valuable information through our analytics.RapidEngines is working on innovative products and services for high volume, complex application log management. Application log data can be very complex to catalog and index. We help customers gain...
Rapidlea|Rapidlea is a SaaS eLearning platform for companies who would like to teach their employees, spread knowledge or instruct people. A course can be enriched with text, images, video, powerpoint and/or pdf files. Add different kind of quizes and gamification for the ultimate eLearning experience. Creating a course is just as easy as creating a...
Rapportive|Rapportive shows you everything about your contacts right inside your inbox.You can immediately see what people look like, where they're based, and what they do. You can establish rapport by mentioning shared interests. You can grow your network by connecting on LinkedIn, Twitter, Facebook and more. And you can record thoughts for later by...
Rattle|Rattle.me is a non-interruptive extensible communications platform. Exact details of service is currently under wraps.
RawData|RawData is a smarter way for researchers and businesses to get connected with consumers’ opinions. This revolutionary technology connects you with real people in real time. Track media consumption, ask questions, get smarter.RawData was born from a frustration with current media tracking and reporting firms’ inaccuracy and questionable research...
Rawporter|Rawporter brings the efficiency of crowdsourcing and power of micro-earning to the photo and video-sharing industry.Now anyone, anywhere can buy, sell, share and request photos and videos on-demand. Rawporter has created an open marketplace where sellers can set their price on existing photos and videos. Buyer can request custom photo and...
renooble|Renooble uses satellite, real estate, climate and psychographic data to find the people who will benefit the most from distributed energy generation.In particular renooble helps solar companies identify their best prospects and carry out targeted marketing campaigns.  Due to a high degree of automation, residential solar installers can acquire...
ReDoc Software|For nearly two decades, ReDoc Software, leads the market in therapy documentation and management solutions. Our solutions are designed specifically for Physical Therapy (PT), Occupational Therapy (OT) and Speech-Language Pathology (SLP) to complement every aspect of today's dynamic therapy workflow. We make documentation simple, while...
ReTel Technologies|Based in San Francisco, CA and Chicago, IL, ReTel Technologies develops advanced analytics that help businesses optimize their security, operations and consumer experience through ongoing analysis of surveillance video.  ReTel's unique system seamlessly augments computer vision with human auditing to uncover actionable insights previously...
Reachoo|Reachoo is a revolutionary, free, video classified website that connects the local community and assist sellers and buyers within the community to make transactions with ease. The word Reachoo sounds like â€œreach youâ€ which happens to be what our mission is about. Our mission is to bring the local community together in the easiest, most...
Reactful|Powerfully simple technology and expert knowledge so you can program your digital fronts to sense visitor intent and react in real time. They equip you with proprietary technology that boosts your site in seconds, allowing you to automatically understand real-time visitor intent and react accordingly. Top consumer companies like Procter...
ReadyPulse|ReadyPulse is the leading platform that provides mastery of social influencer marketing. Period. Enjoyed by the world’s most loved consumer brands to effectively market today’s socially inspired customer, the ReadyPulse platform provides a comprehensive range of tools that find the best people and user-generated content on social networks,...
Real Savvy|RealSavvy is the fastest growing all-in-on-platform for real estate brokers and agent teams.
RealLifeConnect|RealLifeConnect is an Austrian based company extending the social media experience to the real world through the connection of physical social spaces with digital social spaces
RealScout|"RealScout is the platform that powers successful relationships between real estate professionals and their clients. Through RealScout, home buyers can search for real estate using more personal criteria, such as ""natural light,"" ""high ceilings,"" ""large backyards,"" and ""gourmet kitchens."""
Realeyes|Realeyes uses computer vision and machine learning to unlock the full potential of video marketing.Emotions drive behavior. Using webcams and the latest computer vision and machine-learning technologies, we measure how people feel as they watch video content online. Our emotional intelligence enables brands, agencies and media companies to...
Realitycheck|"We help you find insights that will transform your business. By talking to your “consumers” as “real people"" and analyzing what they say in a way that will inspire action and possibilities."
Realm|Realm (formerly tight.db) is a mobile database that enables its users to develop applications faster, develop applications that are fast, and craft amazing user experiences. Realm is a replacement for SQLite & Core Data. It can save users thousands of lines of code & weeks of work, and lets them craft amazing new user experiences. It is a Y...
Reapplix|Reapplix ApS, a research and development company, identifies blood-derived proteins that improve wound healing, isolates them, and reapplies them to patients with chronic wounds. The company was founded in 2008 and is based in Birkerod, Denmark.
Record360|Record360 – The Property Documentation Solution for equipment rentals, property management companies, dealerships, body shops, transportation companies, importers, and anyone that transfers property or goods.    Improved Documentation Quality and Easy to Use – Record360’s mobile-based application allows you to easily and quickly record the...
Recurly|Recurly gracefully handles all the complexities of subscription billing and revenue optimization.Recurly, Inc. provides enterprise-class recurring billing management for thousands of subscription-based SaaS, Web 2.0, Mobile, content and publishing businesses worldwide. Since it’s launch in January of 2010, Recurly has deployed subscription...
Reduxio|There has been no fundamental innovation in data management and protection for primary storage for the last two decades. In 2012, a group of storage industry veterans founded Reduxio with the vision to redefine data management and protection by taking advantage of new processing, networking and media technologies.Reduxio is redefining data...
Reelation|"Reelation is a ""Social Dating Platform"" based on a ""trust path"".Everyone's friends all have single friends that we may never have met. Through Reelation, each member looking for romance will be connected to other single people he is linked to through a ""best friend"" chain. The key idea is to enhance the..."
Reffpedia|Reffpedia, a new online reference engine, is a growing online community, that empowers people to share knowledge and help others become experts. Reffpedia combines answer-elitists, who are passionate about making others experts, and a community of people, who find answers to every-day questions by simply searching. Reffpedia is a privately-held...
Reframed.tv|Reframed.tv is changing the way the world consumes, interacts with and shares video for the better. The company’s mission is to make video truly social. Users can create contextual conversations with time-specific comments in video, share them with deep links, follow users and favourite comments. It’s about building a community, moment by moment....
Refrek Inc|Interview @anytime - anywhere! Refrek is a SaaS based online interviewing platform. It also allows job candidates to record & store brief self-introduction and receives video recommendations from Social Network connections. Refrek’s interviewing platform offers compressive set of canned interview questionnaires in many different job...
Regenerative Medical Solutions|Regenerative Medical Solutions, Inc. develops a protocol to grow pancreatic stem cells. The company offers ProgenMix, a media formulation that generates pancreatic progenitor cells and endocrine cell types; works with multiple human ESC and iPSC lines; and operates as a platform for drug testing and assay development. It also provides consulting...
CraftHounds|CraftHounds is a revolutionary e-commerce logistics and marketing platform providing consumers with real-time access to local Fresh Craft products sourced from craft manufacturers and retailers across major U.S. cities. CraftHounds has a network of trained drivers in our Fresh Craft Fleet, delivering products on-demand within one hour to the...
Reglare|The Reglare is a company that specializes in search software and data processing through research and rules. Works mainly with monitoring public administration, construction and retail. Its software products include enterprise search, web search, profiling components, capture behavior and creating personal rules. The combination of their products...
Reko Global Water|In the environment of growing population and global water shortage, Reko Global Water (RGW) is identifying water assets and developing innovative eco-friendly technologies that will allow for increased potable water availability in the global market.RGW has identified Chile as the first country to develop this innovative business, primarily due...
Relevance Media|Connections Matter.Relevance Media is a cloud-based data analytics platform company providing real-time visualizations of relationships between data across disparate sources.
Relevance, Inc.|We've put together three different perspectives on How We Work. Choose one: Agile Principles You are familiar with agile methods and are curious about our take on agile software development. Product Owner You have an idea that you want to turn into working software, or you’ve decided to work with us on a project. Dev Team You are a developer...
Remedify|Remedify is a database and iPad app that helps technicians correctly clean and sterilize reusable surgical instruments.Remedify is cloud-based software that takes the guesswork out of sterile processing at hospitals and surgery centers.
Remedy Pharmaceuticals|Remedy Pharmaceuticals, Inc. develops small molecule drugs that target NCCa-ATP channels in acute central nervous system injuries, including traumatic brain injuries, strokes, and spinal cord injuries. Its RP-1127 is an intravenous version of glyburide, an inhibitor of NCCa-ATP channels that acts through antagonism of the type-1 sulfonylurea...
RemitDATA|RemitDATA brings the power of Business Intelligence and Big Data into one powerful real-time Comparative Analytics solution (TITAN®) that delivers clarity to the outpatient market on how to optimize reimbursements, staff productivity, and payer performance and code utilization. Providers, hospitals and RCM firms can measure their performance and...
Renovatio IT Solutions|Renovatio IT Solutions is specialized in full product lifecycle mobile and smart TV (applications, games, and services), and smart living (intelligent house and facility management software solutions) services. It also provides workforce management and access solutions, e-learning products, and mobile applications for location-based services, IM,...
Rentalroost.com|Rentalroost.com strives to be the eHarmony.com of the rental sphere. We aim to match renters with the perfect home for their lifestyle and needs using our proprietary predictive analytics and data such as school attendance zones, public transit routes, neighborhood boundaries, zip code boundaries. Rentalroost.com offers a clean and intuitive map...
Rentify|Rentify is a software platform for landlords, helping landlords to market, manage, and make money from their properties.Founded in 2011 by George Spencer, Rentify's board of Directors is, in addition to Spencer, Greg Jackson (Zopa), Simon Guild (WAYN, XING, Spreadshirt, Bigpoint), Tim Bunting (Balderton Capital) and Simon Bullivant...
Reonomy|Reonomy, a technology company headquartered in New York City, is revolutionizing the commercial real estate world. Reonomy creates intuitive products designed to help CRE professionals achieve success by easily finding the information they need.  By combining comprehensive and validated data with powerful analytics our customers make faster, more...
ReplySend|ReplySend is a TechStars '12 (Boulder) company.
ResourceKraft|ResourceKraft develops and supplies technology-driven products for electronics, computing, and energy industries. It offers ResourceKraft Advisor, a computerized measurement and analysis system that uses sensors and advanced metering technology to collect information about an organization's energy and resource usage, as well as analyzes that...
RespirTech|RespirTech helps improve the quality of life for patients with a variety of chronic respiratory conditions (such as Cystic Fibrosis and chronic COPD-associated breathing conditions like bronchiectasis) or conditions resulting from neuromuscular disorders by managing airway secretion clearance.
Restaro|Restaro.com is a diners club platform where members getting discounts up to 50 % on their food bill at participating restaurants. We help restaurants increasing their business by promoting their discounts and restaurant to our members.
Resy|Resy is a mobile app for people who love eating at great restaurants but hate hassling for reservations. The idea that you have to plan way in advance or jump through hurdles to eat at the city’s best restaurants is absurd. Even if you do get a table, chances are the experience of getting from “Where should we eat?” to your seat could have been...
RetAPPs|RetAPPs (acronym for Retail Applications) shall be formalized in January 2012, after a year of incubation within Superpartes Innovation Campus of Brescia, with the goal of becoming the reference point for the development of innovative solutions in the context Retail and supermarkets.The company's focus is realized in the development of...
RetSKU|RetSKU is a business intelligence and analytics platform for retail brands selling via traditional brick-and-mortar merchants. The platform collects in-store competitive placement data in real-time, analyzes it to provide actionable insights and helps to improve promotional effectiveness and new product launches.RetSku is a SaaS platform that...
RetailTower|**RetailTower**, specializes in creating e-commerce marketing software that helps online merchants promote their products and drive traffic through leading comparison shopping engines. RetailTower has over 3,000 merchants, integrates with three leading e-commerce platforms and 15 major comparison-shopping engines. RetailTower is a...
Retailigence|Retailigence is a hyperlocal marketing platform that utilizes brick-and-mortar inventory data obtained directly from retailers to turn online consumers into offline buyers.
RetentionGrid|RetentionGrid is a full-service provider of Personalized Email Experiences for online shoppers. Shop owners win higher CTRs & more conversions to order.They love to build better e-commerce businesses by growth hacking for customer retention. Step-by-step, activity-by-activity, their application learns from your data, tells you what to do or...
RethinkDB|RethinkDB is the first open-source scalable database for the realtime web. It exposes an exciting new access model -- instead of polling for changes, the developer can tell the database to continuously push updated query results to applications in realtime. RethinkDB allows developer to build scalable realtime apps in a fraction of the time with...
Retrevo|Retrevo is a shopping site focused solely on consumer electronics search, discovery, recommendations and purchase. The site, which is now one of the largest consumer electronics shopping and review sites online, used machine learning and Big Data Analytics on large scale private and public unstructured data to derive product insights on a daily...
RetroSense Therapeutics|RetroSense Therapeutics is a biotechnology company developing life-enhancing gene therapies designed to restore vision in patients suffering from blindness due to retinitis pigmentosa (RP) and advanced dry age-related macular degeneration (advanced dry-AMD). There are currently no FDA approved drugs to improve or restore vision in patients with...
Lucid Software|Lucid provides software and solutions for the Nondestructive Testing (NDT) industry.Lucid has expertise in working with a range of NDT techniques including Ultrasound, X-Ray, Eddy Current, Ground Penetrating Radar and Impact Echo. Lucid offers 2 product platforms Muulam and Kovid and develops custom software.Lucid provides software...
Revee|Outbrain (www.outbrain.com) is the world's leading, premium content discovery platform, bringing personalized, relevant online, mobile and video content to audiences while helping publishers understand their audiences through data. Outbrain serves approximately 250 billion personalized content recommendations every month and reaches over 557...
Revegy|Revegy is highly visual and configurable sales enablement software.  Sales and account management teams plan, collaborate and execute to win more deals and strategically manage accounts. Revegy’s visual and intelligent tools simplify the most complex sales situations, and identifying the actions needed to close deals faster, beat the competition...
Reverbeo|Reverbeo dramatically reduces the cost, time, and effort involved in building and delivering multilingual websites.Reverbeo is a cloud-based translation management platform which helps small to medium sized businesses grow their global audience by creating automatic multilingual versions of their website and access to crowd or professional...
ThisData|ThisData provides supercharged login security for your app by automatically sending a “Was this you?” notification to your users when unusual login activity is detected. Your ops team gets real-time notifications of unusual logins and can integrate with webhooks to build custom security workflows.
Reviewspotter|What is ReviewSpotter?Customer reviews are a vital resource when trying to decide whether to purchase from a merchant online. The exciting new technology developed by ReviewSpotter eliminates the tedious task of performing internet searches and wasting hours hopping from one site to another in an attempt to find feedback by fellow consumers....
Revisu|Collaboration, review and approval tools for designers, creative teams and agencies.
Rico from Mindhelix|Mindhelix's Rico is a sensor-equipped hardware that works by itself or with a spare smartphone to detect and alert users about changes inside a home, for example, in temperature, humidity, noise levels or movement, and the presence of smoke, Carbon Monoxide or cooking gas.
Ridejoy|Ridejoy is a community-driven marketplace for sharing rides. Ridejoy making it easy to share rides with friendly people. If you're going on a trip, you can list extra seat space in your car, and if you need to get somewhere, you can find a ride, using their service.
Ridley|Ridley allows you to understand, control, and monetize your personal data. Ridley offers a suite of products, beginning with an intelligent router and plug-in, designed for varying levels of anonymity online. Founded in May 2014. Working in NY, NY.
Riffyn|Riffyn’s cloud-based software provides computer-aided process design and advanced data analytics to R&D organizations. Riffyn delivers unprecedented data quality and real-time collaboration capabilities for reproducible discoveries and robust product development. The company was founded in 2014 by veterans from the life science and...
Rigetti Computing|Rigetti Computing is a full-stack quantum computing company. We design and manufacture superconducting quantum integrated circuits. We package and deploy those chips in a low temperature environment, and we build control systems to perform quantum logic operations on them. We build software to integrate our systems directly into existing cloud...
RightScale|RightScale enables leading enterprises to accelerate delivery of cloud-based applications that engage customers and drive top-line revenue while optimizing cloud usage to reduce risk and costs.RightScale Optima is a collaborative cloud cost management and optimization solution that enables organizations to take automated action to reduce cloud...
RingTu|RingTU makes it easy and affordable for small and medium businesses to setup their own phone system in Latin America. With a single click, anyone can easily get a local phone number for their company, record a welcome message, create extensions for their employees and start receiving phone calls in minutes.
Ringostat|Ringostat helps evaluate advertising performance, optimize business workflow and automate communication with clients.
Ringpay|Ringpay is a mobile application that enables its users to make mobile payments.The application enables its users to transfer money to others. Furthermore, it allows them to make payments and obtain receipts through the application.Ringpay was launched in 2013 by Michele Silletti and Cristina Bonaccurso and is based in London.
Ripwave Total Media System|Ripwave Total Media System allows a home owner to enjoy any and all media within one system. With the way that we have set ourselves up, we provide an affordable media server solution for anyone who is interested.
Kenna Security|Kenna Security is a leader in predictive cyber risk. The Kenna Security Platform enables organizations to work cross-functionally to determine and remediate cyber risks. Kenna leverages Cyber Risk Context Technology™ to track and predict real-world exploitations, focusing security teams on what matters most. Headquartered in San Francisco, Kenna...
RiteKit|RiteTag identifies hashtags that have gotten results and leads you to use them more, continually refining your smart-tagging.
Rithmio|Rithmio's motion recognition software, Constellation, is used to create the next generation of wearables and connected clothing. Rithmio has strategic partnerships with leading semiconductor companies and consumer electronics manufacturers that embed Constellation at the System on Chip (SoC) or reference design level. Rithmio Constellation is...
RoboCV|RoboCV develops intelligent autopilot systems. The company’s flagship product, RoboCV X-MOTION NG, is a multifunctional system designed to automate all types of floor movements for pallet goods at warehouses.The system consists of an electric pallet truck and an intelligent automation system, RoboCV AUTOPILOT, which allows it to work offline...
RoboDynamics|RoboDynamics produces Telepresence Robots which enables remote participation by deploying a mobile robot as an avatar. TiLR is essentially a video-conferencing unit on wheels and provides a much more organic and immerssive experience to video-conferencing. While similar robots have existed in Space Exploration, Explosive Ordinance Disposal...
Rock The Post|This project is intended to consolidate funds on one hand and lend to active youths on daily basis to enable them turn businesses for the day. The loans are considered one day petit credit that enables a hard working individual to buy and reset items daily. They ensure to repay back amount borrowed at the end of the day or first thing the next day...
Rocketrip|Rocketrip reduces business travel costs by giving employees a clear incentive to spend less on their trips. The platform produces custom budgets based on real-time pricing data and a company's travel policy guidelines. If employees beat their budgets, they keep half of the savings they generate. Rocketrip gives employees greater autonomy over...
Rockmelt|"Rockmelt is a social web browser built off of Chromium and boasts deep integration with both Facebook and Twitter with its ""Edges"" which are filled with friends that are online and feeds that you follow complete with update badges.It also sports what some believe to be the next big search revolution. Unlike Google's universal..."
Rofori Corporation|DEFCON CYBER™ is a security operations, analysis, reporting platform that correlates machine-generated alerts/notifications and personnel activity  to a risk strategy, enabling key insight and discovery in the operational security environment. DEFCON CYBER™ applies decision-making logic and context to provide action workflows and prioritized...
RolePoint|RolePoint's mission is to rethink the way organizations access and retain the highest quality talent by driving the shift in how enterprises use data to hire.
Rolith|Rolith is developing advanced nanostructured products for consumer electronics, solar and green building markets using a proprietary nanolithography technology. Its Rolling Mask nanostructuring system surpasses current nanolithography systems in throughput, cost and quality. Rolith was formed by Dr. Boris Kobrin, Prof. Mark Brongersma and...
Roojoom|Roojoom is an omni-channel customer engagement platform for brands. Using Roojoom, companies create real-time personal customer experiences to accelerate customer engagement, onboarding, retention and fanfare across the entire customer lifecycle.
