|company_name|description
10|640 Labs|640 Labs is a precision farming platform that collects, analyzes and distributes data, effectively optimizing farming operationsFarmers have proven to be willing adopters of technology if it provides value. Today, over 35% of all corn, wheat, and soybean farmers are using GPS auto-steered tractors to maximize yield. Now is the time to bring the power of analytics, mobile technologies and cloud computing to provide valuable insight and productivity improvements to farming.
11|8packs|8packs is a Saas-based Race Success Platform that helps athletic events grow and scale. The end-to-end solution enables organizers to manage the entire lifecycle of their race event in one place. More than just an online registration and race management solution, the platform also facilitates collaboration between the event organisers and various stakeholders in the event. There stakeholders includes participants, volunteers, sponsors, vendors and other organisations that are important to the success of a race.
12|99tests|99tests is a Crowdsourced Software Testing Platform with over 6500 Software Testers. We have logged over 27000 bugs.Crowd Testing gives Software Product owners to get their applications tested in the real world by testers across the world.Crowd Testing also allows companies to find critical functionality issues before they are reported by customers and also get feedback on features before rolling out to millions of users.Over 80 companies such as Intuit, Flipkart, Practo have used the services of 99tests.
13|9Mile Labs|9Mile Labs is an Enterprise / B2B high-tech startup accelerator based in Seattle, WA. 9Mile Labs offers workspace, funding, valuable perks, and a group of mentors and advisors to help entrepreneurs transform startup ideas into success. 9Mile Labs has recruited a brilliant set of mentors who are driven to help propel the startups in the program to the next level.
14|9SLIDES|9SLIDES is cloud based presentation platform, which allows users to Create, Deliver & Measure presentations.We allow users to synchronize their slides with speaker video and make them available on-demand, for iPad, Android or any other device with modern browsers. Simple, yet powerful 9SLIDES is enabling individual professionals and companies of all sizes to deliver personalized, accurate presentations on-demand.Our cloud based approach, allows users to publish presentations in minutes, without requiring special software, hardware or huge IT infrastructure.
15|A Smarter City|A Smarter City connects the physical world to the virtual world with municipal mesh networks and interactive networking software to enable more powerful real-time assessments of a cities workings. A Smarter City supplies a city-wide interface to their sensor networking platforms.  Their current demonstration deployment enables parking garage owners and operators a real-time audit of their spaces while giving consumers accurate information on where there is space to park.  Through their APIs other developers can deploy municipals solutions on top of their existing network platform and software.
16|AIRVEND|AirVend is an interactive touchscreen device that displays nutritional info, provides cashless options, and sends real-time data and alerts wirelessly.With the platform in place, innovation can continually flow via over-the-air updates. Actionable Ads, loyalty & coupons, new cashless payment options, dynamic pricing, custom promotion, and much, much more...We are passionate technologists on a mission to make the latest technology affordable for the Vending masses.
17|AMAX Global Services|AMAX Global Services (AGS) is a software development and offshore outsourcing business partner that is headquartered in Fremont, California and leverages its Offshore Development Centers strategically located in Shanghai and Suzhou, China. We are dedicated to providing value added services with highly qualified and skilled software engineers.  Our expertise is in providing solutions for companies of various sizes from software startups to Fortune 500 companies.  We provide value added services encompassing the complete product delivery lifecycle at very attractive rates.We offer a full range of high quality services:Application Development and Maintenance Consulting and Implementation Testing Services (performance, scalability, security, compatibility) English, Chinese and Japanese localization and language expertise Dedicated Offshore Development Centers to protect confidentiality and intellectual property Remote IT Infrastructure Support
18|ARMGO,Pharma,Inc.|ARMGO Pharma, Inc., a biopharmaceutical company, develops small-molecule therapeutics to treat debilitating cardiac, skeletal muscular, and neurological disorders. It offers rycals, which are calcium release channel stabilizers that act on ryanodine receptor/calcium release channel, a therapeutic target located on the sarcoplasmic/endoplasmic reticulum of the cell for treating chronic heart failure, cardiac arrythmias, and muscle disorders, as well as cognitive disorders, malignant hyperthermia, diabetes, chronic obstructive pulmonary disease, high blood pressure, and bladder dysfunction. The company was incorporated in 2004 and is based in Tarrytown, New York with an additional office in New York, New York.
19|AVST|With more than 30 years of continuous innovation, Applied Voice & Speech Technologies, Inc. (AVST) is a trusted developer of software-based Unified Communications (UC) solutions for businesses of all sizes.Our mission is to develop communications solutions that transform the productivity of individuals, teams and businesses while leveraging the value of their existing and evolving IT infrastructure.Thousands of businesses worldwide rely on AVST to meet their â€œmission-criticalâ€ communications requirements today, align their business with key trends and, with the world-class interoperability and delivery models of AVSTâ€™s UC solutions, provide a bridge to their digital future.MEET YOUR REQUIREMENTS TODAYNobody builds more secure, reliable, feature-rich and scalable â€œenterprise classâ€ UC solutions than AVST. Thatâ€™s why top hospitals, leading universities, major government agencies and multinational companies worldwide have turned to AVST to meet their requirements today, including replacing mission-critical voice applications like automated attendant, voicemail and fax, as well as extending the life of their existing call control infrastructure.ALIGN WITH KEY TRENDSFor over three decades, AVST has remained at the forefront of our industry by developing next-generation communications solutions. Today these solutions include flexible and secure unified messaging, speech-based call processing, contextually aware personal assistant, powerful UC mobile clients and advanced notification and information-access solutions that integrate with the databases of your organization.THE BRIDGE TO YOUR DIGITAL FUTUREThe broadest interoperability suite in the communications industry serves as the foundation of our best-of-breed UC solutions. By connecting new and existing communications technologies, AVST facilitates the migration of your enterprise to the Cloud, IP and Microsoft Lync. AVST maintains relationships with virtually all of the major premise and cloud communications technology providers to ensure that your UC solutions and your business are always â€œfuture-proofed.â€ABOUT AVSTHeadquartered in Orange County, California, AVST maintains facilities in Seattle, Washington, Victoria B.C., Canada and the United Kingdom and has remote sales offices throughout the United States. AVST's UC solutions are sold and supported worldwide by an extensive network of resellers and OEM partners. To learn more about AVST, our products and partners, please visit www.avst.com or you can follow us at Twitter, Facebook, or LinkedIn.AVST was established in September 2003 from the combined businesses of Sound Advantage (established in 1997) and the AVT division (established in 1982) of Captaris, Inc. (NASDAQ: CAPA). A privately owned company, AVST's two major institutional investors are Ignition Partners, Bellevue, WA (www.ignitionpartners.com) and Second Alpha Partners, New York, NY (www.secondalpha.com).
20|AYLIEN|Aylien is an artificial intelligence startup that focuses on creating technologies that help machines understand human languages better. The firm provides Text Analysis and News API's that allow users to make sense of human-generated content at scale. AYLIEN also provides a range of content analysis solutions to developers, data scientists, marketers and academics. Their core offerings include packages of information retrieval, machine learning, natural language processing and image recognition APIs.
21|Abacus Labs|Abacus Labs, Inc. develops Abacus, a mobile application that simplifies and enhances the expense-management system for employees and managers.Abacus was founded in 2013 by Omar, Ted, and Josh with a simple idea: when employees at your company incur expenses, you should be able to pay them back quickly. Abacus has been designed from the ground up to keep pace with the speed at which business now moves.Replacing the expense report with a real time expense system, Abacus is helping businesses get money wherever it needs to go faster. By accounting for company spend at the expense level as itâ€™s happening, Abacus keeps all company business systems in sync and offers the most dynamic reporting on the market. Its goal is to provide finance teams with tools and data that enable them to become a strategic pillar in their organization.
22|Abattis Bioceuticals|Abattis Bioceuticals Corporation is a specialty bio-technology life sciences company that has acquired intellectual property, conducts research, and works to develop proprietary health and wellness solutions that address chronic illnesses and disease in animals and humans through proprietary and patent pending formulations. The Company has identified targeted channels to market and license proprietary patent pending products throughout the world.http://www.abattis.com/s/news.asp?ReportID=692690SEDAR Filings:http://www.sedar.com/DisplayProfile.do?lang=EN&issuerType=03&issuerNo=00011477
23|Ablative Solutions|Ablative Solutions, Inc., was founded in 2011 by Tim Fischell, MD, FACC, and David Fischell, PhD, to address this significant unmet medical need.  Ablative Solutionsâ€™ technology involves endovascular catheters to provide an efficacious, durable, cost-effective and safe alternative to surgical renal denervation for the treatment of hypertension and other diseases caused by an overactive sympathetic nervous system.
24|Absolute Commerce|Absolute Commerce works with Global 5000 organizations to improve the operational effectiveness and efficiency of their purchase-to-pay activities.Absolute Commerce combines an ultra-modern data acquisition platform, world class pricing and procurement optimization expertise, and proven ERP integration to solve the limitations of traditional electronic procurement platforms. The solution brings a simple, secure, and streamlined approach to the previously complex world of procurement catalog integration by providing a real time, consumer-like shopping experience within our customersâ€™ existing ERP systems, requiring zero customization at a cost that is easy to justify.The Absolute Commerce leadership team has a long track record of creating innovative solution to long-standing problems in the procure-to-pay arena
25|Accellion|Accellion, Inc. enables enterprise organizations to securely connect all their content to the people and systems that are part of their critical business processes, regardless of the applications that create that content or where it is stored, while maintaining the controls and visibility needed to demonstrate compliance. Accellionâ€™s solutions have been used by more than 25 million end users and have been installed at more than 3,000 of the worldâ€™s leading corporations and government agencies including NYC Health + Hospitals; KPMG; Kaiser Permanente; Latham & Watkins; National Park Service; Umpqua Bank; Cargill; and the National Institute for Standards and Technology (NIST). Accellionâ€™s secure file sharing platform, kiteworks, provides CISOs full control of their content to mitigate the risk of a data breach, ransomware attack or other form of data loss. Deployment flexibility (on-prem, IaaS, FedRAMP, hosted, hybrid cloud), encryption (AES 256, FIPS and key ownership), integration with existing security infrastructure (LDAP, SSO, etc.) and AV/DLP scanning on file uploads and downloads provide the highest levels of protection to ensure only authorized users can access, share and receive your most sensitive content.Whether stored on-prem or in the cloud, Accellion provides organizations an integrated governance framework around the systems that store and share their most sensitive content. Knowing where sensitive content like customer and patient information resides in the network, whoâ€™s accessing it, and whatâ€™s being done with it provides organizations the ability to demonstrate compliance with GDPR, HIPAA, HITECH, FISMA, GLBA, SOX and other rigorous government regulations.
26|Accountable|Accountable is a platform designed to help organizations manage HIPAA compliance. Our software as a service provides all of the necessary tools and resources to maintain compliance, not just for doctors and hospitals, but for all organizations that are now required to be HIPAA compliant under the new regulations. From policies & procedures to risk assessments and employee training, Accountable covers everything that companies need to become and stay compliant.
27|Accrue Search Concepts dba Boounce|"Accrue Search Concepts, Inc. dba Boounce is engaged in developing and in marketing a software application and service for enhancing conventional browser use on the Internet.  The Company's premier service, Boounce (pronounced bounce), is a consumer targeted browser extension and a community based platform that aids in Internet search by allowing users to ""boounce"" through a dynamic set of search result pages."
28|Accu-Break Pharmaceuticals|ACCU-BREAK Pharmaceuticals, Inc. develops and licenses pharmaceutical tablet technologies. The company offers bi-layer and tri-layer technologies, which are used to create tablets that are dividable by hand into accurate partial/smaller doses for patients to adjust their dose. Its technologies are used for single drug products, fixed and split combination drug products, standard and controlled release formulations, and incompatible drugs in human and veterinary medicines. The company has a strategic alliance agreement with Azopharma Development Group. ACCU-BREAK Pharmaceuticals, Inc. was formerly known as SoLapharm, Inc. and changed its name to ACCU-BREAK Pharmaceuticals, Inc.
29|Accurence|Founded in 2005 by experts in high-growth start-ups, property insurance, disaster restoration, and building science, Accurence is a software-as-a-service solution provider that invented onsite inspection and scope automation software for wind and hail claims for property insurance adjusters and roofing contractors. Accurence solutions use a private cloud-based intelligent rules engine utilizing mobile devices to dramatically overhaul and drive significant gains in accuracy, efficiency, consistency, and intelligence in property claims settlement.Currently, Accurence provides two product solutions: SettleAssistâ„¢ for insurance carriers and adjusters and ScopeAssistâ„¢ for roofing companies and contractors. Both solutions use digital devices for gathering the onsite inspection data which is then transmitted wirelessly to the proprietary Accurence cloud-based decision intelligence engine, which automates several proactive steps within 90 seconds or less.Proud award recipient of the Red Herring 2012 Top 100 North America Companies, winner of the 2011 Boulder County Business Report IQ Award for Software innovation, a finalist for the Best Companies in Colorado to Work For, and a finalist for 2012 Colorado Companies to Watch; Accurence is a fast-growing and energetic company creating and solving key business deficiencies in the claims and job workflow.Accurence is a privately-held company headquartered near the Rocky Mountains in Westminster, CO
30|Acorns|Acorns is a micro investing app in the U.S. Its easy-to-use, mobile-first technology makes it simple for anyone to set aside and invest life's spare money. Acorns allows customers to automatically invest in a low-cost, diversified portfolio of exchange-traded funds offered by some of the world's top asset managers (including Vanguard and BlackRock).Customers grow their wealth in one of five portfolios constructed with help from world-renowned Nobel Laureate economist Dr. Harry Markowitz. Acorns smart portfolio algorithms automatically work in the background of life, helping users build wealth naturally, pennies at a time. 
31|Acqua Telecom Ltd|"MVNO in starting in the UK and rapidly expanding to Brazil, Spain, Italy and Germany. 
Focused on Value Added Services instead of the common calling card ethnic concentration, Acqua brings value to customer's mobile service embracing the mobile applications environment and bringing social networking to a new level of integration with the user. 
Acqua is launching in the UK in January 2014 and in Brazil in August 2014. 
Acqua is looking for Angel investors interested in been part of very successful team of telecom professionals ready to launch a major telecom operator with a global vision."
32|ActX|ActX, Inc. is a dynamic venture that is focused on making patient genomic information truly useful in everyday medical practice. We are currently seeking a Clinical Geneticist (Ph.D) and Clinical Pharmacist (Pharm.D) to work in a unique, small team environment where innovative new processes assist everyone's productivity. Join our team and help us make personalized medicine a reality rather than a dream!
33|ActiveEon|Open Source Solutions for distribution and parallelism to accelerate applications and virtualization Founded in 2007, and based in Sophia Antipolis, France, the company ActiveEon co-develops the open source middleware ProActive Parallel SuiteÂ® in collaboration with the INRIA team OASIS, and benefits thus of more than 10 years of R&D experience. Open and non intrusive, the ProActive Parallel SuiteÂ® solution is parallel computing made easy, for accelerating and scaling up applications, within the companyâ€™s IT culture, enabling greater business agility at radically lower costs. ActiveEon solutions are independent from the underlying infrastructure, for better utilization of your existing investments in PC Desktops, Multi-cores, Servers, Clusters, Grids and Clouds. We offer high value service to increase performances and maximize a quicker return on investment (ROI) for enterprises leveraging the â€œProfessional Open Sourceâ€ProActive technology: Training, Consulting, Integration, Subscription support, and Partnerships (OEMs, ISVs, VARs).
34|Acumen Pharmaceuticals|Acumen Pharmaceuticals is a discovery stage biotechnology company focused on discovering and developing in partnership with leading pharmaceutical companies best in class therapeutics and diagnostics for Alzheimer's disease. Acumen owns or has exclusive license to a broad set of patents, related intellectual property and drug development capabilities relating to amyloid beta soluble oligomers, now widely believed to be an underlying cause of Alzheimer's disease. Acumen is partnered with Merck & Co. for the development of certain monoclonal antibody therapeutics. NeuroVentures LLC and Biotechnology Value Fund LP have made investments in the company.
35|Acunu|Acunu Analytics offers a platform for low-latency, continuous analytics on big data; powering dashboards and embedded applications to monitor and control environments in manufacturing, telecommunications, media, financial services and other industries where high-velocity data must be analysed in real time.The Cassandra NoSQL database is at the core of the Acunu offering and Acunu is a very engaged Cassandra contributor  donating many of its innovations back to the community. Acunu was founded in 2009 and is backed by some of Europeâ€™s top VC funds. Started by a unique mix of researchers and engineers from Cambridge and Oxford Universities, Acunu has offices in London (near Old Street, Londonâ€™s â€œSilicon Roundaboutâ€) and California.
36|AdTapsy|"AdTapsy is mediation platform that help app publishers and developers accelerate and increase their revenue in a fast and easy way. - Most profitable Ad Networks in single SDK (Charboost, Revmob, Applovin and more)
 - Fast and Easy integration
 - Auto-switching to highest paying ad network and ensuring up to 99% fill rate
 - Real-time Leaderboards and regular prizes for the best publishers"
37|AdTotum|AdTotum is a revenue generation solution for high traffic websites, working across all page views by all visitors to provide a complete solution for publishers.  The systems and genetic algorithms used by AdTotum scale to and analyze the behaviour of millions of users to predict what they need next thereby producing a CPM (revenue per thousand impressions) that increases over time and traffic volume rather than burning out.  AdTotum out-performs standard banner ads and other smart ad systems with high click through rates across all impressions, effectively monetizing entire high traffic sites.
38|Adarza BioSystems|Adarza BioSystems is an early stage medical diagnostics company developing a rapid and label-free biological assay platform for measuring clinical and point-of-care (POC) samples. In addition to performing sophisticated clinical tests within minutes, this technology is fully arrayable, potentially allowing hundreds of tests to be run simultaneously on a single chip.
39|Adcast|Adcast is an in-stream advertising platform that allows people to advertise using popular social media networks.Adcast For Advertisers: Adcast is an in-stream advertising platform that allows publishers to make sponsored posts to Twitter or Facebook. Advertisers can use Adcast to reach the highly sought after Twitter and Facebook audience by connecting brands with the people who matter, the users.For Publishers: Ad.ly enables publishers to make money by posting sponsored messages to Twitter or Facebook.  The publisher always has the option to choose to accept or deny any post and has a set time to decide before the offer expires. The publishers are able to set the price they want advertisers to pay and when to receive payment.
40|Addoway|Addoway is an online marketplace that helps you shop from sellers you can trust. Our mission is to guide you through the most trustworthy shopping experience imaginable by allowing you to make more confident buying decisions.Through our integration with Facebook's Social Graph, we recommend merchants your friends have purchased from in the past and merchants that your friends know personally. And by aggregating a seller's reputation, credibility and influence scores, we offer an inside look into the seller before you buy. Making this information readily available, we are able to reduce the anxieties associated with marketplace shopping and offer a more pleasant shopping experience.
41|Addvocate|As of December 9, 2014, Addvocate merged with Trapit to create a platform for authentic employee advocacy and social selling. What is Addvocate? Imagine you could join the conversation your employees are having about your brand, figure out who they are, and validate them for it. Addvocate makes it easy to track the social voices of your business, foster a sense of community, and empower that community to be heard.â€¢  Identify: Follow every voice to get a picture of the larger conversation. Find out who is representing your brand on social media, so you can identify which employees can help spread your message.â€¢Â  Amplify: Use your employees' voices to help you get heard. Make it easy for them by finding and suggesting content to share, and get peace of mind that the right people are sending the right message.â€¢  Measure: See the total scope and impact of your social presence. Track each employee's reach to reward super users, encourage participation, and shape overall presence.â€¢  Optimize: Find and tailor content to maximize reach. Evaluate your data to see what type of content is most popular with your employees and the larger audience.
42|Admittor|Admittor develops high-quality software solutions for university admissions departments. The companyâ€™s flagship product was developed with help from admission officers at one of the worldâ€™s leading universities and launched there in 2013. Admittor is a comprehensive, paperless admission management solution. It replaces the old and often mixed and disjointed software solutions and introduces new features that help universities save time and money. Admittor utilizes cutting-edge web technology. Itâ€™s an online application, a powerful database, a smart evaluation system and an interview planner. Itâ€™s easily customizable, simple and efficient.Admittor was founded in Iceland in 2011. The company is based in part in Iceland, Cambridge, MA. and San Francisco, CA.
43|Advaliant|Advaliant is the performance marketing affiliate network division of MediaTrust.Advaliant provides end to end performance based services and solutions for publishers and advertisers. The solutions are CPA CPL CPC and CPM based and use search, banner, social media,email and mobile marketing targeting and distribution from thousands of affiliates on the network.Advaliant partners include PlayPhone, Xerox, HP, Circuit City, Ediets, TheStreet.com, Datran media, Internet Broadcast Systems and myspace.
44|Advanced Catheter Therapies|Advanced Catheter Therapies, an early stage research and development medical device company, has a portfolio of innovative catheter technologies targeting vascular disease including thrombosis, inflammation, occlusions and restenosis. ACT is developing a revolutionary device for restenosis (re-blockage of blood vessels) and as well as catheters for endovascular debulking (clearing of blocked blood vessels).
45|Advanced Vector Analytics|The company was formed in 2012 by alumni of the Hi-Tech business accelerator CommercializationReactorTM. It was built around a breakthrough technology developed by Russian scientists led by Dr. Anatoly Speransky.The technology starts a new era in safety of mechanical systems. For the first time in the history, they are able to measure and analyze complex vibrations and determine precisely how they arise. This information can be applied by engineers in all industries to redesign the life cycle of mechanical systems, starting from materials science through design and production to maintenance, diagnostics and utilization.The mission of the company is to improve the safety of mission critical mechanical systems in ground based and aerospace applications, such as power generation, supporting structures, ground, air and space transport vehicles. By sharing their ability to make measurements and analyses, they will enable other specialists to add value to the systems they are responsible for.Shortly after its incorporation Advanced Vector Analytics raised a pre-seed investment from Imprimatur Capital Fund Management and successfully created its first practical solution for optimization of dynamic balancing. The company applied for several international patents during 2012-2013.
46|Afinity Life Sciences|Afinity Life Sciences Inc. is a company based in Edmonton, Alberta that researches, develops and brings to market natural-based therapeutics that help support your healthy and active lifestyle.Afinity is not just in the business of manufacturing products but pioneering science that brings evidence-based natural health products to the forefront under the Afinity brand. The companyâ€™s unique approach is to use proprietary science to create a premium-quality line of natural health products that consumers can trust. The Afinity product line is tailored to meet the unique health needs of different consumers in the areas of cardiovascular health, cognitive health, rheumatoid arthritis and general health. The Afinity brand has a pipeline of products that promises a growing range of innovative products in a number of other key health areas to meet the needs of active aging consumers.
47|Agronomic Technology Corp|Agronomic Technology Corp is a Sustainable Agriculture company with a mission to improve growers' financial and environmental performance through independent data, science and cloud technology. The company's first focus is nitrogen management.  Its Adapt-N solution provides and always-on, accurate and customized nitrogen recommendation to growers and is  the leading precision nitrogen management solution in the industry.   Over its 10 years of development it has shown proven financial and environmental performance gains.    The company's solutions are viewed as market leaders by farmers, Ag Industry experts, commercial stakeholders (like Walmart), and sustainability groups like the Environmental Defense Fund and The Nature Conservancy.
48|Aislelabs|Aislelabs is a technology company assisting retailers to achieve better and increased sales through the power of big data analytics. We assist our clients understand customer traffic patterns inside and outside their physical stores in ways never before possible. This deeper understanding empowers our suite of products to offer highly personalized marketing messages tailored for individual customers. Our technology results in more intelligent store operations, increased sales and higher customer satisfaction.We serve boutique retailers, large stores, cafes, restaurants, commercial spaces and event venues of all sizes.
49|Aivo|Aivo is a company that develops artificial intelligence solutions with the aim of transforming the way companies and customers interact.AgentBot is Aivoâ€™s core product. It is an automated omnichannel customer service platform that uses artificial intelligence to automatically interact with customers across all channels. It helps companies to improve customer experience by learning from users. Aivo AgentBot has a broad customer base that includes Sony, AIG, Visa, Mastercard, GM, LG, TelefÃ³nica, among others.Today, Aivo is the leader in Latin American virtual assistants and present in 10 countries. Last year it handled over 100 million interactions in English, Spanish and Portuguese. We are expanding globally by opening offices in new countries and reaching our customers through them. We are also leveraging commercial collaborative partnerships worldwide, with a current focus on Telecom & Cable, FinTech,  eCommerce, Utilities and Government.
50|Alcanzar Solar|Our Mission is to spur a staggering environmental impact by bringing down cost of Solar Technology, with directed innovation for extreme affordability. We seek to radically lower the cost to where solar products can reach the level of global omnipresence of a cellular phone. Currently, our projects are focused around solar thermal water heaters and solar water purification and desalinization. We plan soon to include development of small scale solar cooling for vaccinations and perishable foods necessary for Africa and Asia. In addition, our model is to share our technology to help create local small businesses that are able to produce the systems themselves.
51|Alektrona|Alektrona Corporation offers hardware and software solutions for advanced metering infrastructure (AMI), demand side management, and other energy-related applications. The company offers Z-Aperture, an energy network appliance that unites smart grid open standards and enterprise-class management for demand response, energy efficiency, and advanced metering systems, as well as provides access to thermostats, meters, displays, load controllers, plug-in electric vehicles, and other devices. Alektrona also provides a broadband energy management system that connects smart electric, gas, and water meters, as well as energy management devices and plug-in vehicles to utilities and other energy service providers for residential and commercial environments. The company's customers include smart grid infrastructure companies, such as utilities, energy services companies, municipalities, and energy solutions providers. Alektrona Corporation was incorporated in 2010 and is based in Providence, Rhode Island.
52|AllSource Analysis|AllSource Analysis (ASA) leads the commercial imagery intelligence market with a suite of commercial, multi-source information and analytic products. In partnership with the worldâ€™s leading data resources and a network of analysts, ASAâ€™s expert team fuses unique content into actionable intelligence for critical decision-makers in energy, insurance, government, defense, humanitarian and financial industries. The companyâ€™s core foundersâ€™ vision, insight and experience combine to dramatically reduce the historic high costs and complexity of geographic technology. ASA delivers affordable, easy-to-use business intelligence to a new generation of users across a broad range of applications.
53|Allclasses|Allclasses is the worldâ€™s most comprehensive search engine that connects people everywhere to millions of online and local offline classes and experiences. From the workplace to the life-place, it helps people discover and design the best version of themselves. Founded in 2013, the model answers the need for an objective and intelligent tool that can help people cut through the clutter and easily evaluate classes based on access, cost, and quality. Allclasses is uniquely designed to be Simple, Sweeping, Self-Directed, Social and Sincere. It is the only all-encompassing site that covers the world of academics, professional and personal skills, promoting the pursuit of life-long learning for everyone.
54|Allocadia|Allocadia empowers marketers to run marketing more effectively by providing them with greater control over their marketing investments and the insights they need to drive revenue. The recognized leader in Marketing Performance Management (MPM), Allocadia serves more than 150 customers and thousands of users worldwide, and manages billions of marketing dollars for companies like Microsoft, Juniper Networks, VMware, Red Hat and Charles Schwab.
55|Alphabet Energy|Alphabet Energy, Inc. is commercializing a breakthrough, inexpensive waste heat recovery technology developed at the Lawrence Berkeley National Laboratory. Our revolutionary thermoelectric approach and materials platform is the only of its kind that lends itself to massive scale at low cost. With our products, made entirely from sustainable materials, customers may use their waste heat to generate electrical power in the range of microwatts to megawatts.
56|AlpineReplay|AlpineReplay gives skiers and snowboarders ultimate bragging rights. We measure speed, airtime, vertical, Calories, distance and more, on any mountain in the world. Compare and compete with anyone, including yourself, with the click of a single button on your iPhone or Android. You will see a basic set of stats right on your phone or log into the AlpineReplay.com to see even more detailed stats, compare and compete between friends, push your stats to Facebook and Twitter, or virtualy compete against your friends in
