Algolux Inc.|Algolux is a Canada-based company that provides machine learning optimization platform intended for imaging and computer vision systems.The company's mission is to enable autonomous vision – empowering cameras to see more clearly and perceive what cannot be sensed with today’s imaging and vision systems. Taking this one step further, they...
Algorithmia|Algorithmia gives developers the ability to turn algorithms into scalable web services with a single click. Application developers can then integrate the algorithm into their own applications with under 10 lines of code. Algorithmia hosts the web services , makes them discoverable and enables algorithm developers to get paid for usage.
Alorum|Seoslides is an online platform that enables users to build their own SEO-optimized slides. Users can create this on their own WordPress sites and embed it anywhere they prefer.
American Gene Technologies International|American Gene Technologies International Inc. (AGTII) is developing bio-safe, high efficiency lentivirus therapies to treat cancer, HIV/AIDS, and other chronic human disorder. Their vision is to bring genetic medicine to the consumer with novel, highly effective therapeutics.
Amiato|Amiato's real-time integration service moves your data to where it's most valuable to you. Today's flexible databases like MongoDB and CouchBase let agile businesses accelerate and scale their operations, but analyzing their data has been elusive. Amiato unlocks the value of that unstructured data by bridging the gap to familiar...
An Estuary|An Estuary merged into Yet Analytics, Inc. in November 2014.
Anctu|Anctu has a mission to bring the full power of business intelligence and social media management to all businesses. Today, only the largest companies have access to the kind of tools that let them leverage their data to make better decisions and more money.
Anser Innovation|We are Anser Innovation, pioneering interactive IoT technologies that enable remote care. Anser is an innovation engine and holding company of two subsidiaries – PetChatz LLC and Ōmcare LLC.
AnswerGo.com|Ask Questions and Get Answers Online instantly from verified experts such as Doctors, Lawyers, Vets and Mechanics.
Apama Medical|Apama Medical, Inc. was incorporated in 2009 and is based in Saratoga, California.
Apexian Pharmaceuticals|ApeX Therapeutics is an emerging clinical stage biotechnology company founded on the scientific discoveries of Dr. Mark R. Kelley, whose groundbreaking work on APE1/Ref-1 redox protein signaling at the Indiana University School of Medicine has provided unique insight into this novel biological target.ApeX Therapeutics has leveraged this...
Arcaris|Arcaris provides a Talent Management platform for Call Center Outsourcers and Enterprises to improve their agents performance and motivation. Leveraging gamification concepts with our platform encourages positive agent behavior; resulting in decreased staff turnover rates and increased profits.
Arideas|Arideas is unique application designed to easily integrate the whole spectrum of digital content and images (including 3D!) into the printed media by connecting it to the mobile and social media experience, providing a new level of customer engagement.
Movvo|The Movvo platform delivers smart business intelligence solutions for owners and operators of retail and commercial real estate that turns data into improved retail performance and better value engineering decisions.  The platform combines consumer behaviour wireless sensor technology and digests other public and private datasets, enhancing the...
Arrayent Health|Arrayent Health, LLC develops software solutions to wirelessly connect health monitoring devices to user's personal health records on the internet. The company was incorporated in 2011 and is based in Stamford, Connecticut.
Artabase|Artabase is an online marketing channel for the fine art market.
Asesori­as Digitales (Digital Advisors)|Asesorias Digitales (digital advisors) is a company dedicated to innovate in web site issues. They work with the last technology and are testing new CMS or animation software to do  better sites.
Assemblage|It has always been about the user.By showing the future of collaboration today, we provide the tools and the infrastructure to enable a new kind of simple real-time interconnectedness between people, companies and browsers.
AthletePath|AthletePath, Inc., a development stage company, intends to develop an online platform for athletes that will illustrate their performance statistics. The company was incorporated in 2006 and is based in Portland, Oregon.
Atlas Scientific|Atlas Scientific is the world leaders in scientific grade environmental and electrochemical sensors. They manufacture high quality sensors for environmental monitoring, for the first time giving everyday people access to scientific equipment that at one time took a grant from the National Academy of Sciences to afford.
Attachments.me|Attachments.me provides a suite of tools to give it's users control of their attachments.
AttorneyFee|The mission of AttorneyFee is to expand access to justice through market mechanisms, particularly, free flow of information and increased liquidity.
AutoBike|AutoBike has developed an automatic shifting technology that it will feature on its own line of bicycles as well as on other bicycle OEM's product lines.
AvaLAN Wireless Systems|AvaLAN Wireless is an industry leading developer and manufacturer of wireless ethernet bridge,wireless ethernet extender,900 mhz ethernet bridge,avalan wireless.
AvanSci Bio|AvanSci Bio, L.L.C. develops analytical laboratory instruments. The company also provides lab automation solutions for various laboratory processes. AvanSci Bio, L.L.C. was founded in 2011 and is based in Salt Lake City, Utah.
Avidbots|Avidbots vision is to bring robots to everyday life to expand human potential. Avidbots first product is NEO - the world's smartest autonomous scrubbing robot. NEO is trusted by some of the best managed airports, retail malls, hospitals, colleges, industrial sites, museums, warehouses, etc in 7 countries and counting.
Avocado™|Avocado is an app for couples (available on iPhone, Android and the web) and is the best way to stay connected with your most important person. It’s a private space just for the two of you to collect and share a life.
Axigen|Axigen is an integrated email, calendaring and collaboration platform, masterfully built on our unique Linux mail server technology, for increased speed and security. The Axigen messaging platform is available in three solutions, all tailored to customer needs: - Axigen Business MessagingThe full benefits of email communication &...
BEAT BioTherapeutics|BEAT BioTherapeutics Corp. (BEATBio) is a Seattle, WA based biotechnology company founded to develop novel therapies for heart disease.  BEAT Bio’s first product is based on a fundamental discovery in cardiac muscle contraction and the development of a novel GeneTherapy to improve cardiac performance in the setting of heart failure.
BEETmobile|BEETmobile offers a software solution that enables broadband subscribers and mobile internet users to securely share their internet connection with the BEETmobile community via WiFi. In return, they get access to all the other member's internet connections on all WLAN enabled devices.
AlignAlytics|AlignAlytics provides software, experience and services to help companies drive improved business outcomes with analytics.
BabyWatch|BabyWatch is somewhere in between a big expensive pregnancy monitoring device and a very simple mobile application that doesn’t provide much information – bringing together best of both in one simple and easy to use system.
Backtrace|Backtrace is the debugging platform that improves software reliability, quality and support. We are the first turn-key platform that combines purpose-built debuggers, analyzers, and fault aggregators to bring exceptional efficiency to your fault management process. Our novel technology captures faults in unprecedented detail and speed so that bugs...
BakedCode|BakedCode create applications which help developers and businesses, focusing on making new solutions or improving on current solutions.
Bambuser|Bambuser is an end-to-end solution for live streaming. Effortlessly create engaging experiences in any app using our developer-friendly tools and fully managed live video platform.
Baremetrics|Baremetrics gives you zero-setup, one-click SaaS analytics for your Stripe account. No more wondering if you set up integration correctly with other analytics apps or trying to reimport old data to bring your analytics package up to speed.
BeHome247|The most affordable Home Automation and Vacation Rental solution today. A remote access, management and property control system.
BeOnDesk|BeOnDesk - personal desk in the cloud that connects multiple web services and applications together and allows you to access all of their services from any device and from any location.
BearTail|drwallet-featuredimage BearTail, the startup behind the cloud-based household accounting solution company.
Bearch|A software development company specializing in communication and collaboration tools for businesses and consumers. Bearch has released multiple consumer internet products focused on solving everyday problems by connecting people.
Beeminder|Beeminder is a motivational tool where you pledge money to stay on track toward a goal and if you go off track, you pay. The commitment contract is linked to a graph of your progress: the commitment is to keep all of your data points on a yellow brick road drawn on your graph. Beeminder = Quantified Self + commitment devices.
Bellbrook Labs|BellBrook Labs is a small R&D company that is devoted to advancing drug discovery for human health therapies. Our company values allow us to be creative in producing and delivering new screening tools, and is made possible with the passion and devotion of our customers. We strive to improve our service to our customers.
Benefitter|Benefitter helps employers confidently navigate Health Care Reform, save money, and improve their employees’ well-being.
BethClip, Inc.|BethClip is cloud clipboard (and data) synic service between multiple devices in different platforms.
Betify|Betify is a mobile application that enables its users to play challenge-based social games.The application allows its users to create challenges that others can fulfill. They would be awarded points for each challenge completed.Betify was launched in 2013 by Samuel Huber and is based in London.
BevSpot|BevSpot is a Boston-based startup founded in 2014 by MIT and Harvard technology entrepreneurs backed by leading investors and industry veterans.We’re here to help bars, restaurants, distributors, and suppliers with purpose-built, easy-to-use, online technology that makes their jobs easier, enabling them to focus on serving their customers.
Big Box Labs|Big Box Labs is the creator of Note trainer lite, a fun sight-reading game that teaches you to recognize music notes. The game increases in speed and difficulty over time so that you can truly learn to sight-read music notes effortlessly.
BigContacts|BigContacts is an all-in-one CRM & Marketing platform that delivers a unique 360 degree view of your Prospects & Customers - helping small businesses create more profitable relationships.
Billaway|Billaway allows mobile network operators to gain a deeper understanding of their subscribers in order to gain insights that fuel data-driven decisions.
Billingstreet|Billingstreet is an online, multi-tenant platform that takes away the issues associated with billing of subscription services based on usage
BioAegis Therapeutics|BioAegis Therapeutics, Inc. develops a portfolio of biomarker-directed treatments for a range of indications. The company was incorporated in 2011 and is based in Morristown, New Jersey.
BioBehavioral Diagnostics|BioBehavioral Diagnostics Company manufactures and markets the Quotientâ„¢ ADHD System, a tool that aids in the objective and accurate assessment of ADHD symptoms. They are dedicated to providing physicians, parents and patients with high-value information to guide personalized strategies and to enhance quality of life for patients with ADHD.
BioInspire Technologies|BioInspire Technologies is a privately held company devoted to research and development of the new generation of the interventional medical devices.
BioMimetix Pharmaceutical|BioMimetix Pharmaceutical, Inc., a biopharmaceutical corporation, intends to develop compounds for the treatment of various disease and health care treatment classifications such as radiation toxicity incurred during the treatment of cancer. The company was incorporated in 2011 and is based in Greenwood Village, Colorado.
BioNex Solutions|BioNex Solutions Inc. develops instrumentation and integrated systems for laboratory automation applications in biopharmaceutical, biotech, academic research, and clinical laboratories. It offers Hive automation platform that automates laboratory processes. The company was incorporated in 2009 and is based in Sunnyvale, California.
Bioceptive|Bioceptive is a women’s health company currently developing a patent-pending intrauterine device (IUD) inserter that vastly simplifies the insertion procedure while significantly reducing the adverse events inherent with current insertion techniques.
Biomode|Biomode is a startup venture based in Caldas das Taipas (Portugal) that aims to be a leading provider of rapid and accurate molecular diagnostic tests for identification of pathogens in the food, environment and life science industries.Biomode’s diagnostic kits are based on the PNA-FISH (Peptide Nucleic Acid Fluorescence In Situ Hybridisation)...
Bioniz Therapeutics|Bioniz is an emerging biotechnology/drug development company focused on discovering small peptides and molecules for treatment of autoimmune diseases and some forms of cancer. Bioniz mission is to complete proof of concept and preclinical studies of its lead technology and seek partners to conduct clinical trials for regulatory approval and...
Nymi|Nymi is a team of thinkers and innovators aimed at shaping the world of technology through biometrics, authentication technology, and their concept of identity.While they specialize in biometrics and authentication technology for consumer electronics, they also develop technology that uniquely utilizes gesture control, proximity detection, and...
Bioparaiso|Bioparaiso develops accelerator programs for biotechnology companies.The company provides its clients with laboratory spaces, business and product development mentoring, and access to grant writing services.Bioparaiso was founded in 2012 by Zachary Apte and is based in Santiago.
Biosystems International|BioSystems International (BSI) brings biomarkers to the bedside. They improve pharmaceutical drug discovery and development productivity, i.e. safer and more effective drugs at lower costs and in less time. BSI delivers tools for disease management.
Birdi|Elegant Smart Home Products. The Birdi Smart Detector is a combined smoke & CO alarm + air quality monitor.
Bitcasa|Bitcasa makes public cloud storage simple. Its Cloud Storage Platform APIs and branded applications provide plug and play solutions for easy file storage, access, and sharing across all major platforms including Android, iOS, Windows, Mac OSX, Linux, and the Web. Bitcasa has helped thousands of developers, OEMs, and service providers in more than...
Blockchain Industries, Inc.|Blockchain Industries is a diversified fintech holding company with a portfolio of assets across multiple classes and verticals. With a specialized focus on virtual currencies, distributed ledger technology, and digital assets, the company has four core pillars of business: digital banking and trust, virtual trading and mining, venture investing...
Bolste|All-in-one digital work hub with business messaging, file sharing, video conferencing, task management and more. Simplify team collaboration both in your office and outside for remote workers, external partners, and vendors that can be invited into Bolste. Streamline communication by replacing the need for paying to have multiple separate...
Talmetrix|Talmetrix™ is re-inventing how talent-focused organizations, and their employees, work together to fuel a culture of high performance.  Through our cloud platform, we simplify the gathering of employee intelligence and existing organizational data to deliver unique workforce insights in real-time.
beryl|beryl are an intelligent biking brand.  Launching with the Laserlight (Jan 2014), a radical innovation tackling the greatest cause of cyclist fatality – being caught in the ‘blind spot’ and vehicles turning across an unseen bike.  Laserlight is a high quality front light, which uses a green laser to project the image of a cyclist down onto the...
Blogic|Blogic is a blogging platform that instantly generates a branded theme matching a company's website. It saves website owners time, money and headaches from recreating their site's existing theme in another platform such as WordPress.
Blokify|Blokify is 3D modeling software that enables kids to to create toys they can play with virtually or physically via 3D printing. Blokify is available for download from the iOS store.
Bloxy|Bloxy is a 3D World reinvented for children on smartphones and tablets. Played by kids in more than 160 countries, Bloxy series consists of three iOS apps titles: Bloxy World, Bloxy Girls and Bloxy Models Basic assisted by web and mobile community for kids: www.bloxyworld.com.
Blue Tornado|Blue Tornado LLC develops voice activated social media app on Android under the name Skyvi. The company was incorporated in 2012 and is based in San Francisco, California.
BlueData Software, Inc.|BlueData provides the leading container-based software platform for AI, machine learning, data science, and big data analytics – helping enterprises to accelerate their deployments, with faster time-to-value and lower TCO.The BlueData platform leverages Docker container technology and patented innovations to make it easier, faster, and more...
Blueshift|Using the power of real-time segmentation and dynamic-content personalization, Blueshift enables marketers to automate Segment-of-One Marketing across multiple channels including email, push notifications, Facebook & SMS.  
Bluenose Analytics|Bluenose helps online businesses to retain and grow their customers.
Body Labs|Body Labs is a horizontal solution provider of human-aware AI that understands the way we move and how we’re shaped to make our world more personal. The company is comprised of the best in artificial intelligence, computer vision, and body modeling. It’s their mission to deliver human-aware AI as the next digital platform to empower the capture and...
BookitNow!|BookitNow! provides a incredibly simple and fast booking engine for mobile hotel bookings. The offered hotels are hand-picked, tested and constantly monitored to provide a unique brand relation and interface for their customers. Hotels can leverage the system to sell their overstock capacity with consumer friendly rates and packages.
Booklr|Booklr is a realtime data & analytics platform that delivers actionable insights to book publishers about their market, customers, and retail partners.
Boomtown|Boomtown is changing the way local businesses get tech support. Through the boomtown app, you get fast, reliable, and affordable support at the tap of a button. Boomtown has technicians on the ground in every major market in the US ready to solve your everyday problems as they happen. No more waiting, no more headaches. Get back to business.
Bootup Labs|"Bootup Labs is a startup accelerator in Vancouver, BC that helps founders and companies go ""from zero to fundable."" Bootup Labs recruits promising entrepreneurs and provides mentorship, ongoing support, investment and office space to help define their business and secure venture financing."
Boxcar|Boxcar provides real time push notifications for the services you love.
BrainSINS|BrainSINS Smart eCommerce provides a 360º eCommerce Personalization Solution, that you can easily integrate into any online store. Their solution includes several awesome products: personalized product recommendations, email retargeting, behavioral targeting, Gamification and eCommerce Analytics.
Branch|The introduction of mobile has divided today’s businesses, causing inaccurate attribution and links that don’t work, leading to wasted marketing spend and broken customer journeys. Branch helps thousands of today’s top brands drive the best mobile experiences through its powerful linking infrastructure, cross-channel and cross-platform attribution...
Brandcast|Brandcast powers customized Website Clouds for the world’s leading enterprises. Brandcast’s technology allows digital teams to execute the entire website workflow - prototyping, design, content editing, and site management - from a single, cloud-based platform.
Bridge US|Our mission at Bridge US is to make immigration effortless. That starts with revolutionizing the broken US immigration process. After witnessing the dysfunction of the immigration process firsthand, we knew the world deserved a better solution. Bridge is a platform that combines proprietary workflow technology with world-class legal expertise to...
BrightArch|OrgWeaver is a SaaS platform for managers to understand their organization and make it better.
Bring Me That|BringMeThat is a website and technology platform that allowsconsumers to order food online from ANY delivery restaurant across theUS – even ones that do not have an online ordering option. Online fooddelivery is a $14 billion industry but over 100,000 US deliveryrestaurants still do not offer online ordering. Only BringMeThat has a...
Brisk|Brisk finds the fastest paths to sales for customers like Evernote, Hootsuite and Zendesk. Brisk Enterprise implements your sales process, converts all your sales tool data into next steps for sales reps and customizes workflow for every team and role. Brisk.io has launched its first product GetSalesDone, available in the Apple App Store, which...
Browserling|Browserling lets you live-surf a website in a different browser with nothing to install. This lets, for instance, a Mac user test a website to see how it acts in Internet Explorer 6, without having to install a virtual machine or perform any other setup work.
Comfy|Comfy is a smart building solution provider on a mission to create exceptional workplace experiences. With deep roots in advanced computing and thoughtful user experience, and living at the nexus of the digital world and physical space, our Oakland-based team builds unconventional software solutions for everyone — from the people who operate the...
BuildingLayer|BuildingLayer is a crowdsourcing platform for indoor maps. Community members contribute indoor map content which is then available to developers through an API. The company also creates whitelabel and self-branded mobile, web, and large-format touchscreen viewer applications.
BumpTop|BumpTop provides users with a personalized desktop interface that they are able to customize.
Bunkr|Bunkr is for professionals who want to present their work with a single click.Bunkr's presentations are completely web-based, displaying all the content you create that is kept on the cloud. Bunkr is unlike any other presentation tool allowing you to effortlessly create and update elegant presentations.
Buzzilla|Buzzilla is social media monitoring and analysis company based in Israel. The company develops technologies and analysis and research methodologies which conjoin in creating advanced solutions both in the business sector and for Homeland security implementations.
Buzzoek|Buzzoek allows customers to register and receive personalized rewards for each visit, while providing merchants with real-time information (at the moment of sale). The gathered information is also used to provide merchants with regular reports on their business operations and to empower them to micro-target, sell to, acquire & retain customers.
CTAdventure|CTA is an expert in the field of Image Processing. The company applies Machine Learning in order to improve or automate research in the field of medical imaging. These solutions are applicable in every situation, where image analysis (either pictures or video) could improve the speed or quality of performed services. CTA is also a pioneer in the...
Calnex Solutions|Calnex is the world-leader in test & measurement solutions to prove and monitor the performance and reliability of Ethernet synchronisation and OAM technologies - 1588v2, NTP, Sync-E, CES, E-OAM and MPLS-TP OAM.
Calpano|Calpano offers consulting and software tools. Focus is on smart tools which semi-automate thinking/decision processes.
Cambridge Communication Systems|Cambridge Communication Systems Ltd (CCS), a Cambridge, UK-based newly formed technology company that intends to provide a cost-effective backhaul solution for the mobile infrastructure.
ChannelUnity|ChannelUnity, which began trading in 2009, provides services to online retailers worldwide and also develops mobile and desktop applications for third parties, from its base in Salford Quays, UK.Starting with a single client retainer, the company has grown to more than 320 clients worldwide despite having only spent Â£400 on marketing and until...
Canvace|The company creates development tools and APIs for HTML5-based browser games.
GoCanvas|GoCanvas is a mobile platform that makes it simple for any business to automate how work is done, replacing outdated processes and expensive paperwork. The GoCanvas App works on all smartphones and tablets, helping companies easily collect information across their organization, share it instantly with others and gain real-time insights on their...
Car in the Cloud|Car In the Cloud is a network of car monitoring devices which provides information to a cloud server. Information such as traffic conditions and car performances of various car units are computed and analysed, and relayed meaningfully to other car users. This information can also be transmitted to car manufacturers and transport agencies.
Carambola Media|Carambola is a unique, publisher focused platform that creates new revenue streams for premium publishers, while enhancing the experience on their pages.
CardiAQ Valve Technologies|CardiAQ Valve Technologies (CVT), a privately held company, is developing innovative approaches to heart valve replacement and is initially focused on transcatheter mitral valve implantation (TMVI).
CardiOx|CardiOx Corporation develops and offers systems that measure and monitor cardiac output, total circulating blood volume, and endogenous blood ammonia levels.
Carmenta Bioscience|Carmenta Bioscience, Inc., is a privately held medical technology company dedicated to improving maternal and fetal health. Spun-out of Stanford University School of Medicine in 2012, Carmenta Bioscience is currently developing a highly accurate, serum-based diagnostic test for preeclampsia.
Carrier Mobile|Carrier Mobile offers a mobile-phone based logging and tracking platform capable of solving many common problems faced by the modern North American transportation and logistics industry.
Firebird|Firebird is pioneering in the field of quantum machine learning, building software that makes machine learning possible on the most advanced computer hardware ever created. Founded in 2015 by Colin Lupton, Jonathan Holtby, Stephen Lee, and Alexander Somjen in Toronto, Firebird receives scientific guidance from Dr. Peter Wittek, author of...
Celly|With Celly, anyone can create public or private social networks instantly. Send polls, reminders, alerts, and group texts to any number of people. Celly is used by schools, businesses, families, communities, and social movements.
Cerberus Co.|The Cerberus SDK lets you create in-app security with ease, and its free. The application owner uses our API's in the development process to enable secure information management. The app is enabled with the maximum security the device offers protecting critical information.
Chameleon Collective|Chameleon Collective works together to help businesses grow and transform from the executive to the executional level. Core functions include management consulting, marketing, and executive recruiting.
ChannelMeter|ChannelMeter is a platform for online video analytics and influencer management. We help media companies and brands leverage the power of online video influencers and their massive audiences by providing software for discovery, enrollment, accounting, payments, and tools necessary for a successful online video network.
Chartbeat|Chartbeat is a betaworks company that provides realtime analytics to Websites and blogs.  It shows visitors, load times, and referring sites on a minute-by-minute basis.  The service also provides alerts the second your Website crashes or slows to a crawl.
Chatham Therapeutics|Chatham Therapeutics LLC operates in the biotechnology sector. The company was formerly known as VECTORRX INC. The company was incorporated in 2010 and is based in Chapel Hill, North Carolina.
Chatwala|Chatwala exists to make communication personal again. We strive to enable authentic and timeless conversations between friends. Chatwala is a new video messaging application that lets you share your reaction to your friends' video messages.
Checkout10|The Checkout10 represents the evolution of traditional loyalty cards, paper, through a simple loyalty program, integrated with social networks and packed with features. Great for businesses. Better yet for customers who register with the same leverage the benefits of all partners.
ChemiSense|ChemiSense is making the world’s first personal, wearable air quality monitor, giving everyone the chance to breathe smarter.
ChoicePass|ChoicePass is a customized corporate perks and employee rewards technology company. ChoicePass is building the world's most relevant and easy to use platform for employees to discover, redeem and share company-sponsored perks and benefits.
Cinetraffic|Cinetraffic provides human-powered services for movie and TV Show recommendation, discovery and search, to help you find your next good movie. 
CirrusWorks|CirrusWorks is the leader in dynamic bandwidth management. The CirrusWorks Governor optimizes traffic during peak congestion periods to ensure fast and reliable Internet performance for all users. Only CirrusWorks employs AutoAlgorithms™ that adapt to unpredictable traffic patterns in real time, without the need to pre-configure static rule sets or...
Citygoo Urban Car pooling|Citygoo is the France's leading urban ridesharing operator. Join us to help create Europe's leading urban carpool operator!Our application uses AI machine learning to help matche drivers and passengers for real-time ridesharing with smartphone and low power navigation technology.The result is a FASTER, more COMFORTABLE ride to your...
ClearGist|ClearGist offers personalization and recommendation widgets that are embeddable in any ecommerce siteClearGist recommendations are data-driven, require minimal setup and are proven to increase your sales by 10% or more
ClearPoint Learning Systems|ClearPoint develops web-based learning solutions for the Healthcare and Life Sciences sectors utilizing their proprietary software in graphics technology. The company applies advanced education methodologies for professional development and supports sales training, product launches, customer education and regulatory compliance.
Clef|Clef replaces passwords on the web. Walk up to any computer in the world, hold up your phone, and Clef instantly logs you in. Modern cryptography in your pocket replaces the 6 characters in your head; forgotten passwords become a thing of the past.
Cleverbug (CleverGift)|Cleverbug invented CleverGift, eGifting made possible - powering gift shopping experiences for eCommerce retailers. CleverGift is an online retail gifting technology solution which combines the thoughtful and personal nature of traditional gifting with the one-click convenience of eCommerce, recreating the surprise and delight of opening a gift...
Click4Ride|At click4ride you can be a rider or a transporter and earn money. We will have designated pickup spots and drop of spots, all created and verified by our automated website (Everyone has to be a verified participant)
Client24|Client24 provides customer loyalty management services. The company automatically sends congratulations with holidays, birthdays and reminders about sales and interesting events for client of SMEs. Client24 is based in the Russian Federation.
ClipClock|ClipClock - is the video time-tagging service. Users can collect, share and search most relevant video moments of online video placed on most popular platforms on Internet.
Amras Venture|AMRAS Venture represents the new connected world, offering innovative and customer-centric services by integrating state-of-art technology with business, and offering best-in-class solutions. AMRAS Venture is amalgamation of three different entities - Technarch, Infinion, and 3Degree Projection It is also working in the field of IoT (Internet of...
CloudBolt|CloudBolt unifies private and public cloud into a single enterprise hybrid cloud where end-users can manage and orchestrate IT resources.CloudBolt’s hybrid cloud management platform enables enterprise IT departments to build, deploy, and manage private and public clouds quickly and efficiently. The user-friendly portal hides the complexities of...
