|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|description
10|3Scan|40000.0|Biotechnology|390000|operating|USA|San Francisco|3|2011.0|technology|3Scan is turning tissue into bits by building robotic microscopy tools and software for large-scale sample analysis and 3D visualizations.  Many diseases emerge only at a tissue level, such as cancer, heart disease, lung disease, stroke, Alzheimer's, and diabetes.  3Scan enables higher throughput, greater quantification, and broader image analysis than what is currently possible with traditional histopathology.  3Scan's data-driven approach is expanding our understanding of tissue biology and will lead to the discovery of new diagnostics and therapeutics.
11|3scale|800000.0|Developer APIs|5000000|operating|ESP|Barcelona|2|2007.0|technology|3scale makes it easy to open, secure, distribute, control and monetize APIs. Powerful, secure and Web scalable, 3scale is the API Management Platform built with performance, customer control and excellent time-to-value in mind. Powering more than 700 customer APIs, 3scale enables distribution of company data, content or services to multiple devices or mobile/Web applications; and makes it easy to productize APIs. No other solution gives API providers so much power, ease and flexibility in such a cost effective way. Customers span the Fortune 500, government, academia and startups including Coldwell Banker, Johnson Controls, SITA, CrunchBase, UC Berkeley and Campbellâ€™s Soup. 3scale also powers the API Strategy & Practice Conference and APIs.io, the first open source API search engine. Unlock the power of your APIs with 3scale. Features include: - API access control & security - Policy management (set tiers, rate limits, automatic provisioning, pricing rules, etc.)- API traffic monitoring and analytics- Developer/Partner portal- Billing and Payments management (with Stripe and Braintree)How It Works:  3scale separates the API program cloud management layer from traffic management components (on-premise, cloud or CDN). Working together, these two layers allow powerful traffic control to be positioned where its needed in the architecture with centralized interface management. The result is traffic control managed from a single location - without having to flow through 3scale -  while APIs can be delivered over any, or multiple channels. The result is low latency, increased control and privacy, lower vulnerability and greater cost effectiveness.3scale has offices in San Francisco, USA and Barcelona, Spain. For more information on 3scale, visit: www.3scale.net.
12|404 Found!|513200.0|Enterprise Software|6246800|operating|||2|1997.0|technology|404 Found offered customer relationship management services and software, and online marketing. The company ended its operations in 2002 in the aftermath of the bubble burst. At its peak, 404 Found! operated in France, Italy, Spain, Germany and the UK.The company helped start ups to define their Internet strategy and operational deployment by conducting sectoral studies, competing positioning, schedule of conditions, etc. In 2001, the consulting division of 404 Found! was acquired by Deloitte & Touche.
13|4Cable TV|20900.0|Clean Technology|20900|operating|USA|Conway|1|2005.0|technology|4Cable TV Inc. is a South Carolina based company providing signal distribution equipment to the cable TV industry throughout the United States and Europe. 4Cable TV Inc. has developed innovative and proprietary circuitry that allows a low current 1 GHz CATV amplifier to be constructed with up to a dramatic 75% decrease in current power requirements, while maintaining essentially the same operational specifications. The Company began shipping PowerMiser modules in September 2007 and the devices are operating flawlessly in the field. These units are based on the Companyâ€™s original design (PowerMiser 1). Recently the Company has completed engineering work which results in an additional 50% reduction in power requirements beyond PowerMiser 1, bringing the total reduction to 75% as compared to competitive product offerings.
14|5app|5100000.0|Web Design|5100000|operating|GBR|London|1|2011.0|technology|5app is a mobile application software toolkit vendor which provides an environment for the rapid application development.The company also offers Build Service, a platform is designed for developers who have traditional web development and design skills and want to use those skills to create custom apps for iOS and Android. The new service also provides a test and publishing environment within the 5app enterprise app store.Build Service enables its users to create a secure app store to provide employees with a directory of work related mobile apps in one place, curate publicly available apps, upload privately developed apps that are then securely published to employees, build company apps in-house using HTML and streamline development by rapidly iterating versions, test apps in a secure environment by placing them in a testing store for feedback, before publishing to the live enterprise store, and more.
15|5o9|50000.0|Software|50000|operating|USA|Boulder|1|2006.0|technology|3PMobile® builds software targeted to businesses who want to extend their Web services to mobile users. Our solution is designed to balance the need for user data privacy and control, with the need for enterprise commerce and convenience.
16|640 Labs|2700000.0|Software|3050000|operating|USA|Chicago|3|2013.0|technology|640 Labs is a precision farming platform that collects, analyzes and distributes data, effectively optimizing farming operationsFarmers have proven to be willing adopters of technology if it provides value. Today, over 35% of all corn, wheat, and soybean farmers are using GPS auto-steered tractors to maximize yield. Now is the time to bring the power of analytics, mobile technologies and cloud computing to provide valuable insight and productivity improvements to farming.
17|720°|190035.0|Predictive Analytics|190035|operating|FIN|Espoo|1|2012.0|technology|20° is an air quality testing company that provides solutions for continuous indoor environmental quality monitoring, helping companies with healthy & productive workplaces. Addressing leading challenges in corporate real estate & facility management through analytics of quantitative data from sensors, buildings and occupants.
18|8packs|39473.0|Technology|79501|operating|SGP|Singapore|2|2014.0|technology|8packs is a Saas-based Race Success Platform that helps athletic events grow and scale. The end-to-end solution enables organizers to manage the entire lifecycle of their race event in one place. More than just an online registration and race management solution, the platform also facilitates collaboration between the event organisers and various stakeholders in the event. There stakeholders includes participants, volunteers, sponsors, vendors and other organisations that are important to the success of a race.
19|99tests|10000.0|Software|210000|operating|IND|Bangalore|3|2011.0|technology|99tests is a Crowdsourced Software Testing Platform with over 6500 Software Testers. We have logged over 27000 bugs.Crowd Testing gives Software Product owners to get their applications tested in the real world by testers across the world.Crowd Testing also allows companies to find critical functionality issues before they are reported by customers and also get feedback on features before rolling out to millions of users.Over 80 companies such as Intuit, Flipkart, Practo have used the services of 99tests.
20|9Mile Labs|900000.0|Software|900000|operating|USA|Seattle|1|2013.0|technology|9Mile Labs is an Enterprise / B2B high-tech startup accelerator based in Seattle, WA. 9Mile Labs offers workspace, funding, valuable perks, and a group of mentors and advisors to help entrepreneurs transform startup ideas into success. 9Mile Labs has recruited a brilliant set of mentors who are driven to help propel the startups in the program to the next level.
21|9SLIDES|500000.0|Enterprise Software|925000|operating|USA|Redmond|2|2010.0|technology|9SLIDES is cloud based presentation platform, which allows users to Create, Deliver & Measure presentations.We allow users to synchronize their slides with speaker video and make them available on-demand, for iPad, Android or any other device with modern browsers. Simple, yet powerful 9SLIDES is enabling individual professionals and companies of all sizes to deliver personalized, accurate presentations on-demand.Our cloud based approach, allows users to publish presentations in minutes, without requiring special software, hardware or huge IT infrastructure.
22|A Smarter City|15000.0|Software|15000|closed|||1|2011.0|technology|A Smarter City connects the physical world to the virtual world with municipal mesh networks and interactive networking software to enable more powerful real-time assessments of a cities workings. A Smarter City supplies a city-wide interface to their sensor networking platforms.  Their current demonstration deployment enables parking garage owners and operators a real-time audit of their spaces while giving consumers accurate information on where there is space to park.  Through their APIs other developers can deploy municipals solutions on top of their existing network platform and software.
23|A's Child|43138.0|Twitter Applications|43138|operating|||1|2013.0|technology|Digital parental control and personal data analysis service “Filii” for Children.Development and operation of Filii and related business.
24|AB Tasty|1412834.0|Analytics|1412834|operating|FRA|Paris|1|2011.0|technology|AB Tasty is a SaaS-based application that enables e-marketers to optimize their website and conversion rate without technical knowledge.It offers an easy-to-use and feature-packed solution to run all kinds of A/B and multivariate tests with minimal technical integration.
25|ADman Media|1368157.0|Video|1368157|operating|ESP|Barcelona|1|2010.0|technology|ADman Media is a video supply-side platform that enables its users to optimize their inventory and maximize their revenue.  Its state of the art technology allows advertisers to reach their target with innovative native video formats in high quality inventory.ADman was founded in 2015, headquartered in Barcelona, Spain with nine offices around...
26|AFreeze|2573200.0|Hardware + Software|2573200|operating|||1|2005.0|technology|AFreeze is a medical device company dedicated to improve the treatment for patients with cardiac arrythmias. Their products are designed to improve patient’s lives and their health.
27|AIRVEND|1200000.0|Software|1200000|operating|USA|Provo|1|2012.0|technology|AirVend is an interactive touchscreen device that displays nutritional info, provides cashless options, and sends real-time data and alerts wirelessly.With the platform in place, innovation can continually flow via over-the-air updates. Actionable Ads, loyalty & coupons, new cashless payment options, dynamic pricing, custom promotion, and much, much more...We are passionate technologists on a mission to make the latest technology affordable for the Vending masses.
28|AMAX Global Services|45000.0|Software|45000|operating|USA|Fremont|1|2000.0|technology|AMAX Global Services (AGS) is a software development and offshore outsourcing business partner that is headquartered in Fremont, California and leverages its Offshore Development Centers strategically located in Shanghai and Suzhou, China. We are dedicated to providing value added services with highly qualified and skilled software engineers.  Our expertise is in providing solutions for companies of various sizes from software startups to Fortune 500 companies.  We provide value added services encompassing the complete product delivery lifecycle at very attractive rates.We offer a full range of high quality services:Application Development and Maintenance Consulting and Implementation Testing Services (performance, scalability, security, compatibility) English, Chinese and Japanese localization and language expertise Dedicated Offshore Development Centers to protect confidentiality and intellectual property Remote IT Infrastructure Support
29|ARMGO,Pharma,Inc.|1000000.0|Biotechnology|1000000|operating|USA|Tarrytown|1|2004.0|technology|ARMGO Pharma, Inc., a biopharmaceutical company, develops small-molecule therapeutics to treat debilitating cardiac, skeletal muscular, and neurological disorders. It offers rycals, which are calcium release channel stabilizers that act on ryanodine receptor/calcium release channel, a therapeutic target located on the sarcoplasmic/endoplasmic reticulum of the cell for treating chronic heart failure, cardiac arrythmias, and muscle disorders, as well as cognitive disorders, malignant hyperthermia, diabetes, chronic obstructive pulmonary disease, high blood pressure, and bladder dysfunction. The company was incorporated in 2004 and is based in Tarrytown, New York with an additional office in New York, New York.
30|AVST|1000000.0|Unifed Communications|6594387|operating|USA|Foothill Ranch|3|2003.0|technology|With more than 30 years of continuous innovation, Applied Voice & Speech Technologies, Inc. (AVST) is a trusted developer of software-based Unified Communications (UC) solutions for businesses of all sizes.Our mission is to develop communications solutions that transform the productivity of individuals, teams and businesses while leveraging the value of their existing and evolving IT infrastructure.Thousands of businesses worldwide rely on AVST to meet their â€œmission-criticalâ€ communications requirements today, align their business with key trends and, with the world-class interoperability and delivery models of AVSTâ€™s UC solutions, provide a bridge to their digital future.MEET YOUR REQUIREMENTS TODAYNobody builds more secure, reliable, feature-rich and scalable â€œenterprise classâ€ UC solutions than AVST. Thatâ€™s why top hospitals, leading universities, major government agencies and multinational companies worldwide have turned to AVST to meet their requirements today, including replacing mission-critical voice applications like automated attendant, voicemail and fax, as well as extending the life of their existing call control infrastructure.ALIGN WITH KEY TRENDSFor over three decades, AVST has remained at the forefront of our industry by developing next-generation communications solutions. Today these solutions include flexible and secure unified messaging, speech-based call processing, contextually aware personal assistant, powerful UC mobile clients and advanced notification and information-access solutions that integrate with the databases of your organization.THE BRIDGE TO YOUR DIGITAL FUTUREThe broadest interoperability suite in the communications industry serves as the foundation of our best-of-breed UC solutions. By connecting new and existing communications technologies, AVST facilitates the migration of your enterprise to the Cloud, IP and Microsoft Lync. AVST maintains relationships with virtually all of the major premise and cloud communications technology providers to ensure that your UC solutions and your business are always â€œfuture-proofed.â€ABOUT AVSTHeadquartered in Orange County, California, AVST maintains facilities in Seattle, Washington, Victoria B.C., Canada and the United Kingdom and has remote sales offices throughout the United States. AVST's UC solutions are sold and supported worldwide by an extensive network of resellers and OEM partners. To learn more about AVST, our products and partners, please visit www.avst.com or you can follow us at Twitter, Facebook, or LinkedIn.AVST was established in September 2003 from the combined businesses of Sound Advantage (established in 1997) and the AVT division (established in 1982) of Captaris, Inc. (NASDAQ: CAPA). A privately owned company, AVST's two major institutional investors are Ignition Partners, Bellevue, WA (www.ignitionpartners.com) and Second Alpha Partners, New York, NY (www.secondalpha.com).
31|AVentures Capital|1000000.0|Internet|1000000|operating|||2|1994.0|technology|AVentures Capital invests at early stage and looks to team up with amazing entrepreneurs from Eastern Europe, particularly Ukraine, who build global businesses. The Fund's investment focus will be across software tech space, including cloud, storage, enterprise solutions, web, mobile, IoT and other software tech related.
32|AYLIEN|500000.0|Semantic Web|500000|operating|IRL|Dublin|1|2011.0|technology|Aylien is an artificial intelligence startup that focuses on creating technologies that help machines understand human languages better. The firm provides Text Analysis and News API's that allow users to make sense of human-generated content at scale. AYLIEN also provides a range of content analysis solutions to developers, data scientists, marketers and academics. Their core offerings include packages of information retrieval, machine learning, natural language processing and image recognition APIs.
33|Abacus Labs|3500000.0|Software|3500000|operating|USA|New York|1|2013.0|technology|Abacus Labs, Inc. develops Abacus, a mobile application that simplifies and enhances the expense-management system for employees and managers.Abacus was founded in 2013 by Omar, Ted, and Josh with a simple idea: when employees at your company incur expenses, you should be able to pay them back quickly. Abacus has been designed from the ground up to keep pace with the speed at which business now moves.Replacing the expense report with a real time expense system, Abacus is helping businesses get money wherever it needs to go faster. By accounting for company spend at the expense level as itâ€™s happening, Abacus keeps all company business systems in sync and offers the most dynamic reporting on the market. Its goal is to provide finance teams with tools and data that enable them to become a strategic pillar in their organization.
34|Abattis Bioceuticals|20014.0|Biotechnology|400988|operating|CAN|Vancouver|3|2011.0|technology|Abattis Bioceuticals Corporation is a specialty bio-technology life sciences company that has acquired intellectual property, conducts research, and works to develop proprietary health and wellness solutions that address chronic illnesses and disease in animals and humans through proprietary and patent pending formulations. The Company has identified targeted channels to market and license proprietary patent pending products throughout the world.http://www.abattis.com/s/news.asp?ReportID=692690SEDAR Filings:http://www.sedar.com/DisplayProfile.do?lang=EN&issuerType=03&issuerNo=00011477
35|Abeona Therapeutics|750000.0|Biotechnology|4350000|operating|USA|Cleveland|2|2013.0|technology|Abeona Therapeutics, Inc. is developing gene therapy based potential cures for the deadly childhood diseases Sanfilippo (SF) Syndrome Type A and Type B.
36|Abide Therapeutics|2250180.0|Biotechnology|2250180|operating|USA|Princeton|1|2011.0|technology|Abide Therapeutics, Inc., a pharmaceutical company, develops serine hydrolase inhibitor. The company was incorporated in 2011 and is based in Princeton, New Jersey.
37|Ablative Solutions|5000.0|Biotechnology|25930577|operating|USA|Kalamazoo|5|2011.0|technology|Ablative Solutions, Inc., was founded in 2011 by Tim Fischell, MD, FACC, and David Fischell, PhD, to address this significant unmet medical need.  Ablative Solutionsâ€™ technology involves endovascular catheters to provide an efficacious, durable, cost-effective and safe alternative to surgical renal denervation for the treatment of hypertension and other diseases caused by an overactive sympathetic nervous system.
38|Absolute Commerce|200000.0|Software|200000|operating|USA|Providence|1|2012.0|technology|Absolute Commerce works with Global 5000 organizations to improve the operational effectiveness and efficiency of their purchase-to-pay activities.Absolute Commerce combines an ultra-modern data acquisition platform, world class pricing and procurement optimization expertise, and proven ERP integration to solve the limitations of traditional electronic procurement platforms. The solution brings a simple, secure, and streamlined approach to the previously complex world of procurement catalog integration by providing a real time, consumer-like shopping experience within our customersâ€™ existing ERP systems, requiring zero customization at a cost that is easy to justify.The Absolute Commerce leadership team has a long track record of creating innovative solution to long-standing problems in the procure-to-pay arena
39|Absynth Biologics|1287963.0|Biotechnology|1287963|operating|GBR|Sheffield|1|2007.0|technology|Absynth Biologics has been created with the initial goal of developing immunological prophylaxis and therapy to combat bacterial infections.  Absynth’s strategy is to exploit the characterisation of carefully selected novel proteins Staphylococcus aureus (S. aureus)in bacteria as immunological targets.
40|Accellion|1410901.0|Enterprise Software|13410901|operating|USA|Palo Alto|2|1999.0|technology|Accellion, Inc. enables enterprise organizations to securely connect all their content to the people and systems that are part of their critical business processes, regardless of the applications that create that content or where it is stored, while maintaining the controls and visibility needed to demonstrate compliance. Accellionâ€™s solutions have been used by more than 25 million end users and have been installed at more than 3,000 of the worldâ€™s leading corporations and government agencies including NYC Health + Hospitals; KPMG; Kaiser Permanente; Latham & Watkins; National Park Service; Umpqua Bank; Cargill; and the National Institute for Standards and Technology (NIST). Accellionâ€™s secure file sharing platform, kiteworks, provides CISOs full control of their content to mitigate the risk of a data breach, ransomware attack or other form of data loss. Deployment flexibility (on-prem, IaaS, FedRAMP, hosted, hybrid cloud), encryption (AES 256, FIPS and key ownership), integration with existing security infrastructure (LDAP, SSO, etc.) and AV/DLP scanning on file uploads and downloads provide the highest levels of protection to ensure only authorized users can access, share and receive your most sensitive content.Whether stored on-prem or in the cloud, Accellion provides organizations an integrated governance framework around the systems that store and share their most sensitive content. Knowing where sensitive content like customer and patient information resides in the network, whoâ€™s accessing it, and whatâ€™s being done with it provides organizations the ability to demonstrate compliance with GDPR, HIPAA, HITECH, FISMA, GLBA, SOX and other rigorous government regulations.
41|Acceptd|20000.0|Software|3020000|operating|USA|Dublin|3|2011.0|technology|Acceptd was founded to better connect applicants with opportunity and streamline the recruiting and review process for decision makers. We believe the right opportunity should be accessible to any applicant regardless of geography or socio-economic status.
42|Accountable|158000.0|Cloud Computing|158000|operating|||2|2013.0|technology|Accountable is a platform designed to help organizations manage HIPAA compliance. Our software as a service provides all of the necessary tools and resources to maintain compliance, not just for doctors and hospitals, but for all organizations that are now required to be HIPAA compliant under the new regulations. From policies & procedures to risk assessments and employee training, Accountable covers everything that companies need to become and stay compliant.
43|Accrue Search Concepts dba Boounce|200000.0|Vertical Search|200000|closed|||1|2010.0|technology|"Accrue Search Concepts, Inc. dba Boounce is engaged in developing and in marketing a software application and service for enhancing conventional browser use on the Internet.  The Company's premier service, Boounce (pronounced bounce), is a consumer targeted browser extension and a community based platform that aids in Internet search by allowing users to ""boounce"" through a dynamic set of search result pages."
44|Accu-Break Pharmaceuticals|1000000.0|Biotechnology|1000000|operating|USA|Fort Lauderdale|1|2001.0|technology|ACCU-BREAK Pharmaceuticals, Inc. develops and licenses pharmaceutical tablet technologies. The company offers bi-layer and tri-layer technologies, which are used to create tablets that are dividable by hand into accurate partial/smaller doses for patients to adjust their dose. Its technologies are used for single drug products, fixed and split combination drug products, standard and controlled release formulations, and incompatible drugs in human and veterinary medicines. The company has a strategic alliance agreement with Azopharma Development Group. ACCU-BREAK Pharmaceuticals, Inc. was formerly known as SoLapharm, Inc. and changed its name to ACCU-BREAK Pharmaceuticals, Inc.
45|Accurence|1894000.0|Software|4277507|operating|USA|Westminster|2|2005.0|technology|Founded in 2005 by experts in high-growth start-ups, property insurance, disaster restoration, and building science, Accurence is a software-as-a-service solution provider that invented onsite inspection and scope automation software for wind and hail claims for property insurance adjusters and roofing contractors. Accurence solutions use a private cloud-based intelligent rules engine utilizing mobile devices to dramatically overhaul and drive significant gains in accuracy, efficiency, consistency, and intelligence in property claims settlement.Currently, Accurence provides two product solutions: SettleAssistâ„¢ for insurance carriers and adjusters and ScopeAssistâ„¢ for roofing companies and contractors. Both solutions use digital devices for gathering the onsite inspection data which is then transmitted wirelessly to the proprietary Accurence cloud-based decision intelligence engine, which automates several proactive steps within 90 seconds or less.Proud award recipient of the Red Herring 2012 Top 100 North America Companies, winner of the 2011 Boulder County Business Report IQ Award for Software innovation, a finalist for the Best Companies in Colorado to Work For, and a finalist for 2012 Colorado Companies to Watch; Accurence is a fast-growing and energetic company creating and solving key business deficiencies in the claims and job workflow.Accurence is a privately-held company headquartered near the Rocky Mountains in Westminster, CO
46|Acorns|300000.0|Apps|8960000|operating|USA|Newport Beach|3|2012.0|technology|Acorns is a micro investing app in the U.S. Its easy-to-use, mobile-first technology makes it simple for anyone to set aside and invest life's spare money. Acorns allows customers to automatically invest in a low-cost, diversified portfolio of exchange-traded funds offered by some of the world's top asset managers (including Vanguard and BlackRock).Customers grow their wealth in one of five portfolios constructed with help from world-renowned Nobel Laureate economist Dr. Harry Markowitz. Acorns smart portfolio algorithms automatically work in the background of life, helping users build wealth naturally, pennies at a time. 
47|Acqua Telecom Ltd|808211.0|Networking|808211|operating|GBR|London|1|2013.0|technology|"MVNO in starting in the UK and rapidly expanding to Brazil, Spain, Italy and Germany. 
Focused on Value Added Services instead of the common calling card ethnic concentration, Acqua brings value to customer's mobile service embracing the mobile applications environment and bringing social networking to a new level of integration with the user. 
Acqua is launching in the UK in January 2014 and in Brazil in August 2014. 
Acqua is looking for Angel investors interested in been part of very successful team of telecom professionals ready to launch a major telecom operator with a global vision."
48|ActX|1920391.0|Biotechnology|2670394|operating|USA|Seattle|2|2012.0|technology|ActX, Inc. is a dynamic venture that is focused on making patient genomic information truly useful in everyday medical practice. We are currently seeking a Clinical Geneticist (Ph.D) and Clinical Pharmacist (Pharm.D) to work in a unique, small team environment where innovative new processes assist everyone's productivity. Join our team and help us make personalized medicine a reality rather than a dream!
49|ActiveEon|1054991.0|Cloud Computing|1054991|operating|FRA|Valbonne|1|2007.0|technology|Open Source Solutions for distribution and parallelism to accelerate applications and virtualization Founded in 2007, and based in Sophia Antipolis, France, the company ActiveEon co-develops the open source middleware ProActive Parallel SuiteÂ® in collaboration with the INRIA team OASIS, and benefits thus of more than 10 years of R&D experience. Open and non intrusive, the ProActive Parallel SuiteÂ® solution is parallel computing made easy, for accelerating and scaling up applications, within the companyâ€™s IT culture, enabling greater business agility at radically lower costs. ActiveEon solutions are independent from the underlying infrastructure, for better utilization of your existing investments in PC Desktops, Multi-cores, Servers, Clusters, Grids and Clouds. We offer high value service to increase performances and maximize a quicker return on investment (ROI) for enterprises leveraging the â€œProfessional Open Sourceâ€ProActive technology: Training, Consulting, Integration, Subscription support, and Partnerships (OEMs, ISVs, VARs).
50|Acumen Pharmaceuticals|700000.0|Biotechnology|2200000|operating|USA|Livermore|2|1996.0|technology|Acumen Pharmaceuticals is a discovery stage biotechnology company focused on discovering and developing in partnership with leading pharmaceutical companies best in class therapeutics and diagnostics for Alzheimer's disease. Acumen owns or has exclusive license to a broad set of patents, related intellectual property and drug development capabilities relating to amyloid beta soluble oligomers, now widely believed to be an underlying cause of Alzheimer's disease. Acumen is partnered with Merck & Co. for the development of certain monoclonal antibody therapeutics. NeuroVentures LLC and Biotechnology Value Fund LP have made investments in the company.
51|Acunu|1317075.0|Software|10563501|operating|GBR|London|3|2009.0|technology|Acunu Analytics offers a platform for low-latency, continuous analytics on big data; powering dashboards and embedded applications to monitor and control environments in manufacturing, telecommunications, media, financial services and other industries where high-velocity data must be analysed in real time.The Cassandra NoSQL database is at the core of the Acunu offering and Acunu is a very engaged Cassandra contributor  donating many of its innovations back to the community. Acunu was founded in 2009 and is backed by some of Europeâ€™s top VC funds. Started by a unique mix of researchers and engineers from Cambridge and Oxford Universities, Acunu has offices in London (near Old Street, Londonâ€™s â€œSilicon Roundaboutâ€) and California.
52|AdTapsy|69522.0|iOS|69522|operating|||1|2013.0|technology|"AdTapsy is mediation platform that help app publishers and developers accelerate and increase their revenue in a fast and easy way. - Most profitable Ad Networks in single SDK (Charboost, Revmob, Applovin and more)
 - Fast and Easy integration
 - Auto-switching to highest paying ad network and ensuring up to 99% fill rate
 - Real-time Leaderboards and regular prizes for the best publishers"
53|AdTotum|49167.0|Real Time|49167|operating|GBR|London|1|2009.0|technology|AdTotum is a revenue generation solution for high traffic websites, working across all page views by all visitors to provide a complete solution for publishers.  The systems and genetic algorithms used by AdTotum scale to and analyze the behaviour of millions of users to predict what they need next thereby producing a CPM (revenue per thousand impressions) that increases over time and traffic volume rather than burning out.  AdTotum out-performs standard banner ads and other smart ad systems with high click through rates across all impressions, effectively monetizing entire high traffic sites.
54|Adama Materials|1760445.0|Nanotechnology|7131660|operating|USA|Honolulu|4|2008.0|technology|Adama Materials Inc., founded in 2008, is a Honolulu, Hawaii-based developer of proprietary nanotechnology-based advanced materials for use in composite materials and other applications.
55|Adarza BioSystems|250000.0|Biotechnology|7250000|operating|USA|St Louis|4|2008.0|technology|Adarza BioSystems is an early stage medical diagnostics company developing a rapid and label-free biological assay platform for measuring clinical and point-of-care (POC) samples. In addition to performing sophisticated clinical tests within minutes, this technology is fully arrayable, potentially allowing hundreds of tests to be run simultaneously on a single chip.
56|Adcast|3500.0|Facebook Applications|3500|closed|||1|2009.0|technology|Adcast is an in-stream advertising platform that allows people to advertise using popular social media networks.Adcast For Advertisers: Adcast is an in-stream advertising platform that allows publishers to make sponsored posts to Twitter or Facebook. Advertisers can use Adcast to reach the highly sought after Twitter and Facebook audience by connecting brands with the people who matter, the users.For Publishers: Ad.ly enables publishers to make money by posting sponsored messages to Twitter or Facebook.  The publisher always has the option to choose to accept or deny any post and has a set time to decide before the offer expires. The publishers are able to set the price they want advertisers to pay and when to receive payment.
57|AddSearch|650000.0|Enterprise Search|650000|operating|FIN|Helsinki|1|2013.0|technology|AddSearch is a startup focused on creating the best search solution for websites. Based in Helsinki, Finland, the company was founded by a team of highly experienced online professionals.
58|Addapp|1800000.0|Software|1800000|operating|USA|San Francisco|1|2014.0|technology|Addapp is a mobile application that translates its users’ health apps and activity tracker data into actionable recommendations. The application provides its users with insights into their well-being and helps them improve factors like sleep, nutrition, fitness, and mood.Addapp was launched in 2014 and is based in San Francisco, California.
59|Addoway|110000.0|Trusted Networks|110000|operating|USA|San Francisco|1|2010.0|technology|Addoway is an online marketplace that helps you shop from sellers you can trust. Our mission is to guide you through the most trustworthy shopping experience imaginable by allowing you to make more confident buying decisions.Through our integration with Facebook's Social Graph, we recommend merchants your friends have purchased from in the past and merchants that your friends know personally. And by aggregating a seller's reputation, credibility and influence scores, we offer an inside look into the seller before you buy. Making this information readily available, we are able to reduce the anxieties associated with marketplace shopping and offer a more pleasant shopping experience.
