|Unnamed: 0|city|company_name|country_code|description|founded_year|funding_rounds|funding_total_usd|market|raised_amount_usd|sector|status|hasAI|hasAlgo|hasData|hasDeep|hasYtics
10|40.0|Palo Alto|Accellion|USA|Accellion, Inc. enables enterprise organizations to securely connect all their content to the people and systems that are part of their critical business processes, regardless of the applications that create that content or where it is stored, while maintaining the controls and visibility needed to demonstrate compliance. Accellionâ€™s solutions have been used by more than 25 million end users and have been installed at more than 3,000 of the worldâ€™s leading corporations and government agencies including NYC Health + Hospitals; KPMG; Kaiser Permanente; Latham & Watkins; National Park Service; Umpqua Bank; Cargill; and the National Institute for Standards and Technology (NIST). Accellionâ€™s secure file sharing platform, kiteworks, provides CISOs full control of their content to mitigate the risk of a data breach, ransomware attack or other form of data loss. Deployment flexibility (on-prem, IaaS, FedRAMP, hosted, hybrid cloud), encryption (AES 256, FIPS and key ownership), integration with existing security infrastructure (LDAP, SSO, etc.) and AV/DLP scanning on file uploads and downloads provide the highest levels of protection to ensure only authorized users can access, share and receive your most sensitive content.Whether stored on-prem or in the cloud, Accellion provides organizations an integrated governance framework around the systems that store and share their most sensitive content. Knowing where sensitive content like customer and patient information resides in the network, whoâ€™s accessing it, and whatâ€™s being done with it provides organizations the ability to demonstrate compliance with GDPR, HIPAA, HITECH, FISMA, GLBA, SOX and other rigorous government regulations.|1999.0|2|13410901|Enterprise Software|1410901.0|technology|operating|0|0|0|0|0
11|45.0|Westminster|Accurence|USA|Founded in 2005 by experts in high-growth start-ups, property insurance, disaster restoration, and building science, Accurence is a software-as-a-service solution provider that invented onsite inspection and scope automation software for wind and hail claims for property insurance adjusters and roofing contractors. Accurence solutions use a private cloud-based intelligent rules engine utilizing mobile devices to dramatically overhaul and drive significant gains in accuracy, efficiency, consistency, and intelligence in property claims settlement.Currently, Accurence provides two product solutions: SettleAssistâ„¢ for insurance carriers and adjusters and ScopeAssistâ„¢ for roofing companies and contractors. Both solutions use digital devices for gathering the onsite inspection data which is then transmitted wirelessly to the proprietary Accurence cloud-based decision intelligence engine, which automates several proactive steps within 90 seconds or less.Proud award recipient of the Red Herring 2012 Top 100 North America Companies, winner of the 2011 Boulder County Business Report IQ Award for Software innovation, a finalist for the Best Companies in Colorado to Work For, and a finalist for 2012 Colorado Companies to Watch; Accurence is a fast-growing and energetic company creating and solving key business deficiencies in the claims and job workflow.Accurence is a privately-held company headquartered near the Rocky Mountains in Westminster, CO|2005.0|2|4277507|Software|1894000.0|technology|operating|0|0|0|0|0
12|46.0|Newport Beach|Acorns|USA|Acorns is a micro investing app in the U.S. Its easy-to-use, mobile-first technology makes it simple for anyone to set aside and invest life's spare money. Acorns allows customers to automatically invest in a low-cost, diversified portfolio of exchange-traded funds offered by some of the world's top asset managers (including Vanguard and BlackRock).Customers grow their wealth in one of five portfolios constructed with help from world-renowned Nobel Laureate economist Dr. Harry Markowitz. Acorns smart portfolio algorithms automatically work in the background of life, helping users build wealth naturally, pennies at a time. |2012.0|3|8960000|Apps|300000.0|technology|operating|0|0|0|0|0
13|51.0|London|Acunu|GBR|Acunu Analytics offers a platform for low-latency, continuous analytics on big data; powering dashboards and embedded applications to monitor and control environments in manufacturing, telecommunications, media, financial services and other industries where high-velocity data must be analysed in real time.The Cassandra NoSQL database is at the core of the Acunu offering and Acunu is a very engaged Cassandra contributor  donating many of its innovations back to the community. Acunu was founded in 2009 and is backed by some of Europeâ€™s top VC funds. Started by a unique mix of researchers and engineers from Cambridge and Oxford Universities, Acunu has offices in London (near Old Street, Londonâ€™s â€œSilicon Roundaboutâ€) and California.|2009.0|3|10563501|Software|1317075.0|technology|operating|0|0|0|0|0
14|53.0|London|AdTotum|GBR|AdTotum is a revenue generation solution for high traffic websites, working across all page views by all visitors to provide a complete solution for publishers.  The systems and genetic algorithms used by AdTotum scale to and analyze the behaviour of millions of users to predict what they need next thereby producing a CPM (revenue per thousand impressions) that increases over time and traffic volume rather than burning out.  AdTotum out-performs standard banner ads and other smart ad systems with high click through rates across all impressions, effectively monetizing entire high traffic sites.|2009.0|1|49167|Real Time|49167.0|technology|operating|0|0|0|0|0
15|58.0|San Francisco|Addapp|USA|Addapp is a mobile application that translates its users’ health apps and activity tracker data into actionable recommendations. The application provides its users with insights into their well-being and helps them improve factors like sleep, nutrition, fitness, and mood.Addapp was launched in 2014 and is based in San Francisco, California.|2014.0|1|1800000|Software|1800000.0|technology|operating|0|0|0|0|0
16|60.0|San Francisco|Addvocate|USA|As of December 9, 2014, Addvocate merged with Trapit to create a platform for authentic employee advocacy and social selling. What is Addvocate? Imagine you could join the conversation your employees are having about your brand, figure out who they are, and validate them for it. Addvocate makes it easy to track the social voices of your business, foster a sense of community, and empower that community to be heard.â€¢  Identify: Follow every voice to get a picture of the larger conversation. Find out who is representing your brand on social media, so you can identify which employees can help spread your message.â€¢Â  Amplify: Use your employees' voices to help you get heard. Make it easy for them by finding and suggesting content to share, and get peace of mind that the right people are sending the right message.â€¢  Measure: See the total scope and impact of your social presence. Track each employee's reach to reward super users, encourage participation, and shape overall presence.â€¢  Optimize: Find and tailor content to maximize reach. Evaluate your data to see what type of content is most popular with your employees and the larger audience.|2012.0|2|2729000|Enterprise Software|339000.0|technology|operating|0|0|0|0|0
17|64.0||Advanced Vector Analytics||The company was formed in 2012 by alumni of the Hi-Tech business accelerator CommercializationReactorTM. It was built around a breakthrough technology developed by Russian scientists led by Dr. Anatoly Speransky.The technology starts a new era in safety of mechanical systems. For the first time in the history, they are able to measure and analyze complex vibrations and determine precisely how they arise. This information can be applied by engineers in all industries to redesign the life cycle of mechanical systems, starting from materials science through design and production to maintenance, diagnostics and utilization.The mission of the company is to improve the safety of mission critical mechanical systems in ground based and aerospace applications, such as power generation, supporting structures, ground, air and space transport vehicles. By sharing their ability to make measurements and analyses, they will enable other specialists to add value to the systems they are responsible for.Shortly after its incorporation Advanced Vector Analytics raised a pre-seed investment from Imprimatur Capital Fund Management and successfully created its first practical solution for optimization of dynamic balancing. The company applied for several international patents during 2012-2013.|2012.0|1|135952|Analytics|135952.0|technology|operating|0|0|0|0|1
18|69.0|Toronto|Aislelabs|CAN|Aislelabs is a technology company assisting retailers to achieve better and increased sales through the power of big data analytics. We assist our clients understand customer traffic patterns inside and outside their physical stores in ways never before possible. This deeper understanding empowers our suite of products to offer highly personalized marketing messages tailored for individual customers. Our technology results in more intelligent store operations, increased sales and higher customer satisfaction.We serve boutique retailers, large stores, cafes, restaurants, commercial spaces and event venues of all sizes.|2013.0|1|1500000|Analytics|1500000.0|technology|operating|0|0|0|0|0
19|70.0|Espoo|Aito Technologies|FIN|We are a world leader in Customer Experience Analytics for mobile operators. Aito provides better understanding and management the entire customer life cycle helping them identify key relationships and the context between business drivers, customer segments, networks, services, and devices, throughout the customer life cycle.|2006.0|1|3403750|Software|3403750.0|technology|operating|0|0|0|0|0
20|76.0|Seattle|Algorithmia|USA|Algorithmia gives developers the ability to turn algorithms into scalable web services with a single click. Application developers can then integrate the algorithm into their own applications with under 10 lines of code. Algorithmia hosts the web services , makes them discoverable and enables algorithm developers to get paid for usage.|2013.0|1|2400000|Software|2400000.0|technology|operating|0|0|0|1|0
21|77.0|Longmont|AllSource Analysis|USA|AllSource Analysis (ASA) leads the commercial imagery intelligence market with a suite of commercial, multi-source information and analytic products. In partnership with the worldâ€™s leading data resources and a network of analysts, ASAâ€™s expert team fuses unique content into actionable intelligence for critical decision-makers in energy, insurance, government, defense, humanitarian and financial industries. The companyâ€™s core foundersâ€™ vision, insight and experience combine to dramatically reduce the historic high costs and complexity of geographic technology. ASA delivers affordable, easy-to-use business intelligence to a new generation of users across a broad range of applications.|2014.0|1|500000|Open Source|500000.0|technology|operating|0|0|0|0|0
22|88.0|Palo Alto|Amiato|USA|Amiato's real-time integration service moves your data to where it's most valuable to you. Today's flexible databases like MongoDB and CouchBase let agile businesses accelerate and scale their operations, but analyzing their data has been elusive. Amiato unlocks the value of that unstructured data by bridging the gap to familiar...|2011.0|1|2000000|Analytics|2000000.0|technology|operating|0|0|0|0|0
23|90.0|Osijek|Anctu|HRV|Anctu has a mission to bring the full power of business intelligence and social media management to all businesses. Today, only the largest companies have access to the kind of tools that let them leverage their data to make better decisions and more money.|2012.0|1|30000|Software|30000.0|technology|operating|0|0|0|0|0
24|94.0|Burnsville|Anser Innovation|USA|We are Anser Innovation, pioneering interactive IoT technologies that enable remote care. Anser is an innovation engine and holding company of two subsidiaries – PetChatz LLC and Ōmcare LLC.|2011.0|2|2500000|Hardware + Software|1000000.0|technology|operating|0|0|0|0|0
25|98.0|Reston|AnyPresence|USA|AnyPresence is an enterprise platform for the app economy that dramatically reduces the time and cost of mobile-enabling enterprise business processes, products, and services. It is the only solution that offers organizations the ability to assemble and deploy backend servers, native iOS, native Android, and HTML5 mobile apps with 100% native, portable source code.The patent-pending AnyPresence platform also includes the ability to generate sample mobile apps from within API management portals, increasing adoption and accelerating time-to-market for apps that incorporate a company's data or services. The platform is easy to use, yet flexible enough to enable source code-level customization or on-premise hosting options.|2011.0|3|13500000|Mobile Software Tools|2000000.0|technology|operating|0|0|0|0|0
26|102.0|Washington|Apiphany|USA|Apiphany is a leading provider of API management and delivery solutions enabling organizations to successfully leverage the roaring mobile, social and app economy. With its flexible cloud-based architecture, Apiphany empowers companies to securely develop new revenue channels, gain insight in their business, and spur innovation at a fast pace while keeping cost and usage under control. How Apiphany Can Help?Apiphany offers a comprehensive, flexible, cloud-based API management solution that can help you: â€¢	Share data internally, with your partners, or with the developer community.â€¢	Secure and monitor access to your API environment.â€¢	Gain insight into your API ecosystem.â€¢	Remain flexible and agile.â€¢	Grow and scale as you need.â€¢	Software as a Service offering with monthly billing.Some of our customers are:The Washington Post, NFLData, Random House, FlightLookup.|2012.0|2|2900000|Software|2300000.0|technology|acquired|0|0|0|0|0
27|104.0|La Jolla|App2you|USA|App2you's flagship product, FORWARD, is a rapid development platform for custom analytics applications. Visualizations are created directly over databases, using only SQL++ queries and JSON markup. SQL++ is backwards-compatible with SQL, fully supports JSON data, and easily integrates data across multiple SQL and NoSQL databases.App2you's licensed, patent-pending technology originates from UCSD's Web and Databases Lab.|2006.0|3|746000|Analytics|40000.0|technology|operating|0|0|0|0|0
28|108.0|New York|AppFirst|USA|Only AppFirstâ€™s patented technology provides a solution for collecting every event across web-scale applications, regardless of the infrastructure type or programming language. With microsecond visibility into all the applications and supporting resources across their shared infrastructure, IT Operations can now deterministically get to root cause, effectively footprint applications to determine exactly what resources that application requires, and proactively identify when their applications become wobbly. Those responsible for the infrastructure finally have a way to continuously understand the performance of every application running on the shared-resources they own. Key Highlights:**Real-Time Capacity Planning** - Only AppFirst enables capacity management based on app performance rather than server utilization. You can now add or remove resources based on live application behavior, the direct measure of service effectiveness. **Your Application Footprint** - To effectively consolidate servers or migrate to the cloud you need a way to look at a running application and determine exactly what resources that application requires. As well as a facility to show, with certainty, what network communication is happening between applications within your ecosystem.**Deterministic Root Cause** - Only AppFirst can deterministically get to root cause by directly measuring response time and accurate resource utilization metrics. Complete and granular collection of every event across every component and system is the only way to achieve this.**Enabling Automation** - Robust automation can only be accomplished with more data driven triggers to automate scale and recovery. Only AppFirst provides the complete data required to fully harness automated decision making.|2009.0|5|17850000|Application Performance Monitoring|1500000.0|technology|operating|0|0|0|0|0
29|110.0|San Francisco|AppGyver|USA|AppGyver is the leading provider of innovative tools for rapid app development suitable for novice and seasoned developers alike. Founded in 2010 and with offices in San Francisco, U.S.A and Helsinki, Finland, AppGyver has earned the trust of over 150,000 developers and top Fortune 500 companies worldwide.  In 2014 AppGyver was a winner of The Red Herring Europe 100 award.AppGyver's platform consists of multiple products for different phases of app development; Composer 2, Steroids.js and Prototyper.Composer 2 is a drag and drop builder and the evolution of Composer. It enables anyone to build high-quality mobile apps around data in a matter of minutes, allowing direct data import from databases and files (CVS files, Oracle, IBM, website scraping, APIs) as well as in-app collection. Composer 2 is based on AppGyver's Steroids framework and utilizes the same technology to provide great app performance.AppGyver Steroids makes it possible to develop fully native quality mobile apps with HTML5 technologies. Steroids extends the popular PhoneGap framework, and is fully backwards compatible with it.AppGyver Prototyper makes it easy to turn mockup images into mobile application prototypes in matter of minutes.|2011.0|2|3500000|Mobile Software Tools|1000000.0|technology|operating|0|0|0|0|0
30|111.0|London|AppLayer|GBR|AppLayer was founded in 2009 to provide Cloud services to a number of verticals with specific requirements. The primary focus is on cloud hosting, hosted desktop, cloud applications (Exchange, SharePoint, Dynamics, Lync) and services are delivered using an integrated control panel. Trusted partners include Microsoft, Citrix, IBM, Trend Micro and McAfee. Their core management tools include the use of Microsoft System Center 2012.A central factor in AppLayer's success has been through Security - offering solutions for both external and internal threats.In 2011 AppLayer launched White Label Box - a partner focussed offering. Partners can resell a variety of services from Hosted Desktop to Private Cloud. This is managed by a central Cloud Control Panel which can also handle end-user billing.In 2012 AppLayer released its first vertical specific service - RecruitBox for the recruitment sector. In addition to cloud services, recruitment application hosting and professional services - RecruitBox also offers tools to manage employee turnover, data theft prevention and employee monitoring as well as additional security regarding static vs mobile employees.In 2013 the focus has been on Industry Clouds - developing cloud services which benefit the often unique needs of specific industries.In 2014 AppLayer began work on their second generation control panel.|2009.0|1|800441|Web Hosting|800441.0|technology|operating|0|0|0|0|0
31|115.0|Cincinnati|Applaud|USA|Applaud uses science, math and technology to help people have better lives through better memories.  They provide interactive social software that helps people preserve and share better memories with the people they love. The process is optimized for groups, and makes preserving and sharing fun and easy. More importantly, it leads to better memories and makes people feel better about themselves and the relationships that are important to them.  It is innovation built on fundamental principles of neurobiology, social cognition and emotional behavior. Think â€œimportant memories + social software + science & math + big data on the cloud.â€The company is based in Cincinnati, Ohio.|2009.0|3|1450000|Software|400000.0|technology|operating|0|0|0|0|0
32|119.0|Santa Monica|ApplyMap|USA|ApplyMap is a new website that helps high school students decide where to apply to college. Our algorithm recommends an optimized mix of schools to apply to -- including dream, reach, match, and safety schools -- based on a student's grades, test scores, and school preferences. It's the same kind of advice you'd get from talking to a good college counselor for an hour, except it's online, it's free, and it takes less than five minutes.ApplyMap was founded by two UCLA graduate students, Dan Lim and Steve Palley, in the summer of 2013. As teaching assistants in the Department of Political Science, they spent a lot of time teaching UCLA undergraduates. After a while they noticed a pattern: their students were all smart and hard working, but the very best of the best -- the ones who really stood out from the crowd -- were often from less affluent backgrounds.These students had the academic talent and drive to get into a great school like UCLA, but they were also lucky, because college admissions isnâ€™t a level playing field. The competition is fierce, and naturally, applicants use every tool at their disposal to succeed. For every one of the lucky ones who made it into a school like UCLA, how many other great students had missed out on getting into the best possible school for them, simply because they couldnâ€™t afford to hire expert help to guide them through the process?We built ApplyMap to answer this question. We want to fill the growing need for high quality college advice in an intelligent, intuitive and affordable way. Our job is to help as many students as we can understand the possibilities and risks when applying to college. The more you know before you apply, the better off youâ€™ll be when the fat envelopes start to arriveâ€¦ and we want to celebrate with you when they do!|2013.0|1|90000|Analytics|90000.0|technology|operating|0|0|0|0|0
33|120.0|Catania|AppsBuilder|ITA|AppsBuilder: Powering your mobile business with appsAppsBuilder (www.apps-builder.com) is the innovative mobile publishing and distribution platform that empowers SMEs and large enterprises to build a solid mobile presence, reach new customers and improve client retention through powerful mobile apps.Thanks to its powerful, yet easy-to-use platform, AppsBuilder represents companiesâ€™ best partner to expand business reach, while locking in existing clients with its effective app-based technology.AppsBuilderâ€™s services include all the state-of-the-art tools to create, manage and distribute mobile apps and reach a broader audience through a wide range of promotional channels, including QR codes, landing pages, social networks integration and app store submission.To support SMEs in their marketing and client retention operations, AppsBuilder has developed a whole set of CRM tools to allow brands to engage with customers in long-lasting relationships and geolocalize their communications to maximize reach.AppsBuilderâ€™s technological core comes with a cutting-edge business toolkit that includes push notifications to communicate more efficiently with users; geolocalized couponing to market sales and promotions on the go; in-app forms to gather users' feedback and generate new leads for your business; and loyalty cards to boost client retention.Advanced analytics is also provided to monitor applicationsâ€™ rates and trends and assess the performance of mobile campaigns.Thanks to AppsBuilderâ€™s cloud-based system, users can add new content and refresh layout anytime they want, then preview changes in real time. In just a few clicks, they can synchronize their website content with their app, so to offer their users a satisfying up-to-date mobile experience.In a nutshell, AppsBuilder is the ultimate solution to take your business to new heights through the most innovative mobile technologies of our times.|2010.0|3|3455250|Android|1955250.0|technology|operating|0|0|0|0|0
34|121.0|New York|Appscend|USA|Appscend is a Romanian performance-oriented mobile application platform. Appscend provides rapid multiplatform app development, app deployment and lifecycle management, mobile app marketing tools, industry solutions and professional services.Appscend can integrate third party services such as YouTube, Picasa, Google Maps and Facebook. The platform offers a combination with analytics services such as Flurry, Google Analytics and the capability of importing sales and ratings data from individual iTunes Connect accounts. Appscend also offers an amazon web services cloud-based CMS, to monetize options and in-app social monitoring tools.Up to date, Appscend has approximately 550,000 users, 2500 customers, 300 published apps in the Apple App Store and 3500 applications in development. Appscend was chosen as a finalist in Intelâ€™s 2012 International Business Challenge and it exhibits an app platform at Mobile World Congress 2012.Appscend was founded by Andrei Marinescu, Gabriel Dobocan and Sebastian Vaduva and it was launched in Bucharest, Romania.|2010.0|1|40000|QR Codes|40000.0|technology|operating|0|0|0|0|0
35|125.0|San Francisco|Apsalar|USA|Apsalar is now part of Singular. Singular enables data-oriented marketers to connect, measure, and optimize siloed marketing data, giving them the most vital insights they need to drive ROI. The unified analytics platform tracks over $7 billion in digital marketing spend to revenue and lifetime value across industries including commerce, travel, gaming, entertainment and on-demand services. Singular customers include companies like Lyft, Yelp, Match Group, Walmart, LinkedIn and Zynga. Singular is backed by General Catalyst, Thomvest Ventures, Method Capital, Translink Capital, DCM and Telstra Ventures. For more information, visit https://www.singular.net/ or email press@singular.net.|2010.0|3|14800000|Data Integration|800000.0|technology|operating|0|0|0|0|0
36|126.0|North Miami Beach|Aptito|USA|Aptito provides the hospitality industry with an innovative, socially-driven, all-in-one digital software solution that offers the most complete package of features to bring restaurants into the digital age. Aptito disruptive software seamlessly integrates customizable digital menus, offered on iPad tablets, a full-featured and mobile Point-of-Sale (POS) system, real-time reservation solution, an inventory management system, and smartphone app for mobile menu ordering. Aptito allows the service industry to deliver a fast, personalized and interactive experience to its customers like never before, leveraging social media to connect restaurants to consumers, driving up sales, increasing revenue and building data points for greater market intelligence.|2011.0|2|1000000|Software|600000.0|technology|acquired|0|0|0|0|0
37|128.0|Rockville|Ariadne Diagnostics|USA|Ariadne Diagnostics LLC (Ariadne-Dx) is a start-up diagnostic discovery and development company founded in December, 2011 and located in the 270 Technology Corridor with its main office in Rockville, MD. The Company licensed certain rights to discoveries and intellectual property with regard to biomarker panels for mCRC and neurodegenerative / neuromuscular diseases from Ariadne Genomics which over the last ten years has designed and developed bioinformatics software and algorithms for biomedical research. Ariadne-Dx couples this vast experience in bioinformatics with expertise in biomarker discovery and clinical assay development. Company management incorporates individuals with extensive bioinformatics, biomarker discovery, assay development, clinical and regulatory development and business management experience.|2011.0|1|100000|Biotechnology|100000.0|technology|operating|0|0|0|0|0
38|137.0|San Francisco|Ascendify|USA|Ascendifyâ€™s Intelligent People Managementâ„¢ platform reinvents how companies attract, develop and inspire their talent. Built for global organizations, Ascendify integrates machine learning and predictive analytics into recruiting and talent development with one seamless platform. Headquartered in San Francisco, Ascendify's customers include GE, Cisco, Panasonic, Disney, Deloitte, and Marriott.|2012.0|1|1000000|Software|1000000.0|technology|operating|0|0|0|0|0
39|154.0|South Bend|Aunalytics|USA|Aunalytics helps clients embrace the power of data analytics through web-based analytics tools powered by Aunsight, a data science software platform developed in-house by data scientists, for data scientists.Aunsight helps enable the entire data science pipeline, beginning with the integration of data from disparate sources, and finishing with the delivery of rich visualizations. It takes away the worries of data aggregation and integration, computational constructs, scheduling, monitoring, etc. It provides a platform for data scientists to develop a workflow â€“ integrate relevant data, collaborate, bring business insight, develop and implement algorithms, experiment and validate, and deliver results via rich visualizations or even something as simple as a CSV file.Aunalytics' team of data scientists utilizes Aunsight to help businesses understand their customers better, and gives them actionable insights to retain, upsell and acquire new customers.|2011.0|1|820000|Analytics|820000.0|technology|operating|0|0|0|0|1
40|159.0|Nashua|AutoVirt|USA|AutoVirt, Inc. develops and sells a software solution for assessing, migrating, and managing unstructured data stored on NAS devices and Windows file servers.  AutoVirt is sold in three product editions: AutoAssess performs a thorough assessment of the file system; AutoMigrate combines assessment with fast, transparent data migration; and AutoManage enables ongoing storage optimization by combing a Global Namespace with a platform for assessing and moving data.The company was founded in 2007 and is based in Nashua, New Hampshire.|2007.0|7|24300000|Software|500000.0|technology|closed|0|0|0|0|0
41|175.0|San Mateo|B-hive Networks|USA|B-hive helps industry-leading retailers, financial organizations and Web companies deliver a predictable service level to their customer in a cost-effective way.B-hive's Conductor is a virtual appliance that resides within the data center infrastructure. With unique self-learning technology, Conductor identifies and maps user transactions and application infrastructure components so that IT groups can monitor, analyze and control operations in a coherent way. By leveraging existing investments in infrastructure and tools, B-hive Conductor optimizes the availability, performance and application resource allocation for business services running on virtual infrastructure.via: B-hive|2005.0|2|7500000|Networking|500000.0|technology|acquired|0|0|0|0|0
42|181.0|Montpellier|BIME Analytics|FRA|Founded in 2009 in Montpellier, a hotbed of academic R&D in the South of France, the company We Are Cloud created BIME - a powerful modern BI tool capable of turning data from any source into valuable insights and actionable information thus empowering decision-making and impacting business results.Through its pure cloud model, it turns the web into a seamlessly connected data warehouse thus making data analysis, visualization and dashboarding a fast, low-cost, intuitive service for both business and tech users.The privately funded company was the first vendor to offer front-end BI capabilities to Google BigQuery. Customers using BIME are all across the globe: Shell, Husqvarna, Greenpeace, Cisco, Microcredâ€¦ to name but a few. You can find more about BIME's clients here: http://www.bimeanalytics.com/customers.html.Its top experts speak at the most important events such as Google IO and GigaOm Structure Data. Moreover, the company has won a series of awards acknowledging its business model and its technology innovations. It was also featured in some of the major international tech publications including Forbes, InformationWeek, GigaOm, TechCrunch or VentureBeat.|2009.0|2|5000000|Business Intelligence|1000000.0|technology|operating|0|0|0|0|1
43|188.0|London|Bacula|GBR|Bacula is a set of Open Source, computer programs that permit you (or the system administrator) to manage backup, recovery, and verification of computer data across a network of computers of different kinds. Bacula is relatively easy to use and efficient, while offering many advanced storage management features that make it easy to find and recover lost or damaged files. In technical terms, it is an Open Source, network based backup program.|2012.0|1|500000|Open Source|500000.0|technology||0|0|0|0|0
44|190.0|Redwood City|Badgeville|USA|Badgeville is the leading business gamification company with hundreds of global brand customers. With its unique combination of in-app gamification, SaaS platform and big data analytics, Badgeville is building the future of work. The company was founded in 2010 and is headquartered in Silicon Valley. Based in Redwood, CA,  the Badgeville team includes experts from Zynga, Playdom, Omniture, Google, Salesforce.com, Amazon, WebEx, Microsoft and more. Badgeville investors are InterWest Partners, Norwest Venture Partners, Trinity Ventures and El Dorado Ventures.To learn more, follow @Badgeville or visit www.badgeville.com.|2010.0|5|39950000|Enterprise Software|250000.0|technology|operating|0|0|0|0|0
45|196.0||Baremetrics||Baremetrics gives you zero-setup, one-click SaaS analytics for your Stripe account. No more wondering if you set up integration correctly with other analytics apps or trying to reimport old data to bring your analytics package up to speed.|2013.0|1|500000|Cloud Computing|500000.0|technology|operating|0|0|0|0|0
46|201.0|Santiago|Beagle Bioinformatics|CHL|Beagle Bioinformatics is a Brazilian startup company located in JoÃ£o Pessoa (Brazil), with a branch in SÃ£o Paulo (Brazil) and Santiago (Chile). Our work is provide innovative & collaborative solutions for Genomics, Transcriptomics, Bioinformatics & Computational Biology fields. This represents a new paradigm in Genomics & Transcriptomics data analysis and storage. Our goals were constructed based on the transformation from the small to the big data, since the Terabases sequencers are already available, and will be commonly used soon. So, the company provides a facility for consulting, infrastructure implementation, analysis, databases & tools implementation, cloud solutions for biological data.|2012.0|1|40000|Biotechnology|40000.0|technology|operating|0|0|0|0|0
